日期,台灣水泥股份有限公司蘇澳廠-#3旋窯違規,台灣水泥股份有限公司蘇澳廠-#3冷卻機違規,台灣水泥股份有限公司蘇澳廠-#6旋窯違規,台灣水泥股份有限公司蘇澳廠-#6冷卻機違規,信大水泥股份有限公司南聖湖廠-#2旋窯違規,信大水泥股份有限公司南聖湖廠-#2冷卻機違規,信大水泥股份有限公司南聖湖廠-#3旋窯違規,信大水泥股份有限公司南聖湖廠-#3冷卻機違規,幸福水泥股份有限公司東澳廠-#2旋窯違規,幸福水泥股份有限公司東澳廠-#2冷卻機違規,臺灣化學纖維股份有限公司龍德廠-LT2鍋爐違規,臺灣化學纖維股份有限公司龍德廠-LT3鍋爐違規,潤泰精密材料股份有限公司宜蘭冬山廠-旋窯違規,潤泰精密材料股份有限公司宜蘭冬山廠-冷卻機違規,羅東鋼鐵股份有限公司煉鋼廠-電弧爐違規,宜蘭縣利澤資源回收(焚化)廠-#1焚化爐違規,宜蘭縣利澤資源回收(焚化)廠-#2焚化爐違規
20140101,6,,4,,3,,,,,,,,7,,,,
20140102,29,,,2,5,,,,6,,,,,,,,
20140103,3,1,8,,8,,3,,8,1,,,,,,,
20140104,30,1,8,11,4,,1,,10,10,,,,,,,
20140105,35,,22,,6,,1,3,8,1,,,,,,,
20140106,8,18,1,,4,,,1,9,4,,,,,,,
20140107,7,15,2,,6,,1,4,19,22,,,,,,,
20140108,2,4,2,,1,,1,3,15,2,,,,,,,
20140109,,1,2,,1,,,5,8,7,,,,,,,
20140110,2,12,,,,,8,9,16,3,,,8,,,,
20140111,2,14,,,1,,24,1,14,16,,,2,,,,
20140112,2,,4,,2,,7,19,9,9,,,6,,,,
20140113,,,,,,,10,1,6,,,,6,,,,
20140114,2,,,,3,,,,11,,,,5,,,,
20140115,1,,,2,,,,,8,,,,4,,,,
20140116,1,1,,,2,,,,3,,,,10,,,,
20140117,1,1,,,8,,,,9,,,,2,,,,
20140118,8,31,,1,,,,,2,,,,6,,,,
20140119,,9,,,1,,,,11,,,,1,,,,
20140120,21,,,,1,,,,2,,,,8,6,,,
20140121,10,20,7,2,3,,,,4,,,,3,4,,,
20140122,5,22,,,7,,,,3,6,,,1,,,,
20140123,,,6,1,8,,,,1,1,,,11,24,,,
20140124,,,,,7,,,,17,4,,,12,,,,
20140125,2,5,5,,,,,,15,21,,,10,3,,,
20140126,3,,,,,,,,9,1,,,18,5,,,
20140127,,,,,2,,,,15,2,,,,,,,
20140128,16,3,,,1,,,,15,6,,,1,6,,,
20140129,12,,,,,,,,1,,,,2,,,,
20140130,,1,,,,,,,4,3,,,17,2,,,
20140131,,,,,,,,,6,,,,9,4,,,
20140201,,,,,,,,,12,,,,13,1,,,
20140202,4,,,,,,,,10,5,,,9,,,,
20140203,,,,,,,,,11,,,,,,,,
20140204,11,,1,,,,,,6,,,,5,,,,
20140205,1,,,,,,,,6,,,,1,4,,,
20140206,4,,,,,,,,16,,,,8,,,,
20140207,2,1,2,,,,,,11,,,,,,,,
20140208,4,,3,,2,,,,,7,,,,,,,
20140209,1,,3,,8,,,,4,16,,,,,,,
20140210,4,,4,,1,,,,9,36,,,,,,,
20140211,9,,2,1,1,,,,3,29,,,,,,,
20140212,2,,9,,2,,,,4,21,,,,,,,
20140213,2,,1,,2,,,,,9,,,,,,,
20140214,8,1,25,,1,,,4,2,10,,,,,,,
20140215,,,28,9,1,,1,3,10,11,,,,,,,
20140216,,,26,,,,6,6,2,37,,,,,,,
20140217,,,34,,,,3,6,,,,,,,,,
20140218,,,7,,5,,5,2,,,,,,,,,
20140219,,,11,,,,12,10,,,,,,,,,
