日期,台灣水泥股份有限公司蘇澳廠-#3旋窯違規,台灣水泥股份有限公司蘇澳廠-#3冷卻機違規,台灣水泥股份有限公司蘇澳廠-#6旋窯違規,台灣水泥股份有限公司蘇澳廠-#6冷卻機違規,信大水泥股份有限公司南聖湖廠-#2旋窯違規,信大水泥股份有限公司南聖湖廠-#2冷卻機違規,信大水泥股份有限公司南聖湖廠-#3旋窯違規,信大水泥股份有限公司南聖湖廠-#3冷卻機違規,幸福水泥股份有限公司東澳廠-#2旋窯違規,幸福水泥股份有限公司東澳廠-#2冷卻機違規,臺灣化學纖維股份有限公司龍德廠-LT2鍋爐違規,臺灣化學纖維股份有限公司龍德廠-LT3鍋爐違規,潤泰精密材料股份有限公司宜蘭冬山廠-旋窯違規,潤泰精密材料股份有限公司宜蘭冬山廠-冷卻機違規,羅東鋼鐵股份有限公司煉鋼廠-電弧爐違規,宜蘭縣利澤資源回收(焚化)廠-#1焚化爐違規,宜蘭縣利澤資源回收(焚化)廠-#2焚化爐違規
20120101,,,1,,,,1,,9,3,,,,,,,
20120102,7,,,,,,,1,9,5,,,12,1,,,
20120103,9,,,,,,5,7,4,7,,,,,,,
20120104,15,,,,,,6,1,9,31,,,,,,,
20120105,4,,15,,,,,5,21,27,,,1,1,,,
20120106,1,,19,1,,,1,5,13,12,,,1,1,,,
20120107,,,,,,,1,5,14,,,,19,,,,
20120108,,,,,,,2,3,13,7,,,,,,,
20120109,,,16,,,,1,14,16,1,,,,,,,
20120110,,,,,,,1,2,22,2,,,5,,,,
20120111,,,31,,,,3,,8,3,,,,,,,
20120112,,,25,,,,,1,4,6,,,,4,,,
20120113,8,,12,,,,1,,17,16,,,18,,,,
20120114,,,8,,,,,,8,31,,,23,4,,,
20120115,,,14,,,,5,3,7,31,,,,,,,
20120116,,,28,2,,,4,1,15,32,,,,1,,,
20120117,1,,1,,,,,,4,32,,,2,,,,
20120118,21,,26,5,,,,,11,29,1,,,,,,
20120119,5,,16,3,,,,,2,19,,,10,1,,,
20120120,4,,14,,,,,,3,28,,,,1,,,
20120121,1,,16,7,,,,,5,35,,,,,,,
20120122,3,,28,18,,,,,5,35,,,,,,,
20120123,5,,25,25,,,,,1,9,,,,1,,,
20120124,4,,21,3,,,,,4,,,,,4,,,
20120125,7,,16,13,,,,,5,3,,,,4,,,
