日期,台灣水泥股份有限公司蘇澳廠-#3旋窯違規,台灣水泥股份有限公司蘇澳廠-#3冷卻機違規,台灣水泥股份有限公司蘇澳廠-#6旋窯違規,台灣水泥股份有限公司蘇澳廠-#6冷卻機違規,信大水泥股份有限公司南聖湖廠-#2旋窯違規,信大水泥股份有限公司南聖湖廠-#2冷卻機違規,信大水泥股份有限公司南聖湖廠-#3旋窯違規,信大水泥股份有限公司南聖湖廠-#3冷卻機違規,幸福水泥股份有限公司東澳廠-#2旋窯違規,幸福水泥股份有限公司東澳廠-#2冷卻機違規,臺灣化學纖維股份有限公司龍德廠-LT2鍋爐違規,臺灣化學纖維股份有限公司龍德廠-LT3鍋爐違規,潤泰精密材料股份有限公司宜蘭冬山廠-旋窯違規,潤泰精密材料股份有限公司宜蘭冬山廠-冷卻機違規,羅東鋼鐵股份有限公司煉鋼廠-電弧爐違規,宜蘭縣利澤資源回收(焚化)廠-#1焚化爐違規,宜蘭縣利澤資源回收(焚化)廠-#2焚化爐違規
20120126,,,3,2,,,,,6,25,,,10,,,,
20120127,3,,18,3,,,,,13,13,,,,1,,,
20120128,4,,9,,,,,,19,33,,,,1,,,
20120129,2,,19,11,,,,,12,25,,,13,,,,
20120130,5,,37,28,,,,,6,18,,,12,3,,,
20120131,2,12,19,18,,,,,14,11,,,,,,,
20120201,2,,17,18,,,,,15,17,,,4,,,,
20120202,4,,2,,,,,,6,17,,,,2,,,
20120203,1,,15,,,,,,19,33,,,,,,,
20120204,4,,13,,,,,,16,3,,,,1,,,
20120205,,,4,,,,,,13,,,,,,,,
20120206,1,,25,,,,,,4,12,,,1,,,,
20120207,2,,8,7,,,,,2,34,,,,,,,
20120208,2,,,,,,,,8,25,,,,,,,
20120209,4,,,,,,,,11,12,,,,,,,
20120210,26,,13,,,,,,4,32,,,,,,,
20120211,,,,,,,,,,13,,,,,,,
20120212,,,10,,,,,,,4,,,,,,,
20120213,28,,12,5,,,,,4,14,,,,,,,
20120214,12,,18,,,,,,6,,,,,,,,
20120215,4,,22,,,,,,5,5,,,,,,,
20120216,11,,20,14,,,,,7,22,,,,,,,
20120217,2,,31,17,,,,,3,7,,,,,,,
20120218,,,30,27,5,,,,4,27,,,,,,,
20120219,,,5,5,6,,4,28,3,,,,,,,,
20120220,25,,24,,3,,1,16,2,23,,,,,,,
20120221,25,,9,,7,,,5,4,32,,,,,,,
20120222,19,,7,,2,,1,24,2,23,,,,,,,1
20120223,19,,3,,1,,,14,2,20,,,,,,,
20120224,7,,,,2,,7,17,8,30,,,,,,,
20120225,,,,,3,,6,9,10,37,,,,,,,
20120226,,,,,1,,1,11,11,31,,,,,,,
20120227,,,,,1,,4,1,6,30,,,,,,,
20120228,,,,,2,,,3,5,26,,,,,,,
20120229,8,,,,1,,,6,4,,,,,,,,
20120301,1,,,,6,,,5,9,4,,,,,,,
20120302,,,,,4,,2,7,5,24,,,,,,,
20120303,2,,8,,2,,1,25,,15,,,,,,,
20120304,,,,,,,,11,1,2,,,,,,,
20120305,2,,2,,5,,3,4,4,11,,,,,,,
20120306,,,,,4,,3,7,2,26,,,,,,,
20120307,1,,,,5,,6,3,7,8,,,,,,,
20120308,,,26,,5,,2,15,,,,,,,,,
20120309,,,1,9,2,,3,17,,,,,,,,,
20120310,,,1,,4,,4,1,,,,,,,,,
20120311,,,6,,8,,3,,,,,,,,,,
20120312,,,8,7,7,,2,,,,,,,,,,
20120313,3,,,,,,5,,,,,,,,,,
20120314,2,1,3,,,,4,3,,,,,,,,,
20120315,1,,,,,,,,,,,,,,,,
20120316,1,,,,,,4,,,,,,,,,,
20120317,,,,,,,10,,,,,,,,,,
20120318,2,,,,,,2,2,,,,,,,,,
20120319,,,,,,,5,,,,,,,,,,
20120320,,,,,,,2,1,,,,,,,,,
20120321,4,,,,,,8,,,,,,,,,,
20120322,,,1,,,,3,,,,,,,,,,
20120323,5,,,,,,3,1,,,,,,,,,
20120324,1,1,,,,,25,4,,,,,,,,,
20120325,2,,,,,,7,,,,,,,,,,
20120326,,,12,,,,3,14,4,,,,,,,,
20120327,,,18,,,,2,31,,,,,,,,,
20120328,,,,,,,2,,,23,,,,,,,
20120329,,,,,,,5,1,3,11,,,,,,,
20120330,,,,,,,7,8,6,6,,,,,,,
20120331,,,9,,,,11,21,6,32,,,,,,,
20120401,,,1,,,,4,28,19,32,,,,,,,
20120402,,,,,,,1,33,21,8,,,,,,,
20120403,,,,,,,15,6,1,16,,,,,,,
20120404,,,,,,,11,7,5,8,,,,,,,
20120405,,,1,,,,3,3,6,9,,,,,,,
20120406,,,,,,,11,1,5,33,,1,,,,,
20120407,,,,,,,3,3,4,4,,,,,,,
20120408,,,,,,,,11,1,30,,,,,,,
20120409,3,,,,,,3,13,1,22,,,,,,,
20120410,,,,,,,16,,,10,,,,,,,
20120411,,,,,,,3,,1,1,,,,,,,
20120412,5,,,,,,12,3,4,4,,,,,,,
20120413,,,,,,,28,,5,21,,,,,,,
20120414,,,,,,,25,,2,29,,,,,,,
20120415,,,,,,,7,,10,10,,,,,,,
20120416,,,,,,,19,2,14,35,,,,,,,
20120417,,,,,,,14,5,8,30,,,,,,,
20120418,,,28,,,,9,,7,20,,,,,,,
20120419,,,14,,,,9,1,18,24,,,,1,,,
20120420,,,,,,,1,,2,23,,,,,,,
20120421,,,,,3,,7,2,4,16,,,2,,,,
20120422,,,1,,4,,,,1,3,,,13,,,,
20120423,,,1,,2,,7,,8,14,,,5,2,,,
20120424,,,1,,2,,8,2,6,18,,,3,,,,
20120425,,,,,4,,1,,5,27,,,,,,,
20120426,,2,,,2,,4,1,10,33,,,14,,,,
20120427,,,,,3,,3,1,12,31,,,15,,,,
20120428,,,,,2,,5,1,17,23,,,16,,,,
20120429,,,1,,4,,1,4,18,28,,,1,,,,
20120430,,,,,4,,6,3,8,32,,,7,,,,
20120501,,,,,1,,4,,13,3,,,9,,,,
20120502,,,,,,,15,3,12,,,,9,,,,
20120503,,,1,,4,,,,5,2,,,1,,,,
20120504,,,18,,1,,,,5,9,,3,2,,,,
20120505,,,,,,,,,2,1,,,2,,,,
20120506,,,,,2,,,,9,,,,1,,,,
20120507,1,10,14,3,4,,,,12,15,,,6,2,,,
20120508,,,24,,7,2,,2,,6,,,8,,,,
20120509,,,1,,4,,,,,,,,12,,,,
20120510,,,1,,4,,,,6,1,,,13,,,,
20120511,,,5,,4,,,,5,10,,,6,,,,
20120512,,,,,10,,,,,,,,10,,,,
20120513,,,,,9,,,,2,,,,1,,,,
20120514,,,,,2,,,,,2,,,2,,,,
20120515,,1,,,1,,,,6,26,,,11,,,,
20120516,,,,,4,,,,1,33,,,7,,,,
20120517,,,,,,,,,6,33,,,22,,,,
20120518,,,,,,,,,7,28,2,,5,,,,
20120519,,,,,,,,,1,35,,,8,1,,,
20120520,,,,,15,,,,4,35,,,7,,,,
20120521,,,,,6,,,,6,29,,,4,3,,,
20120522,,,,,1,,,,2,,,,,,,,
20120523,,,8,,2,,,,12,,,,14,,,,
20120524,,,7,,,,,,3,21,,,,,,,
20120525,,,7,,1,,,,,6,,,,1,,,
20120526,,,23,,,,,,9,20,,,2,,,,
20120527,,,,,7,,,,1,5,,,5,,,,
20120528,,,,,1,,,,1,20,,,,1,,,
20120529,,,,,7,,,,,19,,,3,,,,
20120530,,,16,,4,,,,7,24,,,,,,,
20120531,,,5,,,,,,,13,,,3,1,,,
20120601,,,1,,,2,,,1,7,,,,,,,
20120602,,,2,,,,,,2,7,,,,,,,
20120603,,,1,,5,,,,,2,,,,3,,,
20120604,,,,,,,,,2,,,,,,,,
20120605,,,,,2,,,,3,3,,,1,,,,
20120606,1,,,,1,,,,,10,,,,,,,
20120607,,,,,2,,,,2,11,,,,,,,
20120608,1,,,,10,,,,2,8,,,,1,,,
20120609,,,,,,,,,1,,,,,,,,
20120610,,,,,2,,,,8,2,,,,,,,
20120611,5,,,,1,,,,10,18,,,,,,,
20120612,33,,,,,,,,,19,,,,,,,
20120613,4,,,,2,,,,5,23,,,,,,,
20120614,1,,,,1,,,,7,18,,,,2,,,
20120615,,,,,1,,,,6,19,,,,,,,
20120616,1,,,,,,,,8,10,,,,,,,
20120617,,,,,,,,,2,22,,,,,,,
20120618,1,,,,,,,,1,3,,,,1,,,
20120619,,,,,3,,,,3,22,,1,,9,,,
20120620,2,,,,1,,,,1,31,,,,,,,
20120621,,,,,,,,,,28,,,,,,,
20120622,34,,1,,8,,,,4,15,,,,,,,
20120623,,,5,,,,,,1,22,,,,,,,
20120624,,,5,,,,,,1,36,,,,,,,
20120625,19,,11,,,,,,5,26,,,,,,,
20120626,1,,,,,,,,,26,,,,3,,,
20120627,,,1,,1,,,,2,27,,,,,,,
20120628,2,,4,,1,,,,3,33,,,,3,,,
20120629,20,12,12,,,,,,2,31,,,,1,,,
20120630,4,,18,,,,,,2,28,,,,,,,
20120701,,,,,,,,,,32,,,23,,,,
20120702,5,,14,,,,,,5,27,9,,6,,,,
20120703,32,,21,,2,,,,2,26,,,13,,,,
20120704,,,17,,,,,,,36,,,3,,,,
20120705,30,,3,,,,,,3,30,,,,,,,
20120706,6,,30,,,,,,6,29,,,,,,,
20120707,,,,,,,,,1,31,,,,,,,
20120708,,,,,,,,,,34,,,,,,,
20120709,,,,,,,,,1,30,,,,,,,
20120710,,,,,,,,,,,,,,,,,
20120711,1,,18,,,,,,,,,,,,,,
20120712,2,,,,1,,,,,,,,11,,,,
20120713,,,1,,2,,,,2,,,,22,2,,,
20120714,,,,,1,,2,,,,,,,,,,
20120715,,,,,3,,1,,,34,,13,1,1,,,
20120716,1,1,,1,,,3,6,,15,,,6,,,,
20120717,28,,3,,,,5,6,,11,,,8,1,,,
20120718,1,,17,,,,5,15,,6,,,1,,,,
20120719,,,34,,,,,22,,30,,,,,,,
20120720,17,,12,,,,,10,,25,,,,1,,,
20120721,15,,,,,,,1,,34,,,2,15,,,
20120722,,,,,,,,2,,20,,,7,4,,,
20120723,1,,1,,,,,4,,6,,,,1,,,
20120724,3,,17,,,,2,2,,4,,,,2,,,
20120725,,,1,,,,2,4,2,1,,,4,1,,,
20120726,,,2,,,,,8,8,2,,,,5,,,
20120727,6,,,,,,,2,,,,,,1,,,
20120728,,,,,,,,4,,2,,,,1,,,
20120729,,,,,,,,2,2,,,,12,3,,,
20120730,1,,,,,,,11,3,,,,21,13,,,
20120731,1,,,,,,2,9,1,,,,5,11,,,
20120801,1,,,,,,12,3,8,10,,,,2,,,
20120802,2,,,,,,6,,3,5,,,17,28,,,
20120803,,,,,,,15,2,,,,,,,,,
20120804,,,,,,,22,8,,,,,,,,,
20120805,,,,,,,7,,,,,,,,,,
20120806,,,6,,,,2,5,,,,,,,,,
20120807,,,3,,,,4,16,,,,,,,,,
20120808,1,,,,,,1,1,,,,,,,,,
20120809,1,,11,,,,7,1,,,,,,,,,
20120810,3,,10,,,,19,6,,,,,8,,,,
20120811,1,,,,,,17,6,4,,,,16,6,,,
20120812,,,,,,,23,1,5,,,9,1,1,,,
20120813,,,3,,,,1,8,1,7,,,,,,,
20120814,2,,,,,,2,1,,17,,,1,6,,,
20120815,,,7,,,,12,7,,17,,,,1,,,
20120816,,,7,,,,1,,1,19,,,2,1,,,
20120817,2,,17,,,,12,1,4,8,,,6,5,,,
20120818,1,,,,,,12,2,,14,,,,,,,
20120819,,,,,,,8,11,12,16,,,,,,,
20120820,,,13,,,,,5,11,23,,,,12,,,
20120821,1,,32,,,,,,4,9,1,,1,,,,
20120822,12,,12,,,,,,5,,,,,,,,
20120823,,,5,,,,,,2,,,,,,,,
20120824,,,,,,,,,10,,,,26,3,,,
20120825,,,,,,,,,1,,,,6,1,,,
20120826,,,,,,,,,2,2,,,1,1,,,
20120827,,,10,,,,,,5,,,,7,4,,,
20120828,8,,10,,,,1,23,3,,,,,2,,,
20120829,9,,1,,,,2,22,1,,,,,,,,
20120830,9,2,10,,,,1,14,8,,,,,,,,
20120831,8,,5,,,,4,17,5,,,,1,,,,
20120901,4,,,,,,5,,,,,,4,16,,,
20120902,7,,,1,,,13,17,6,,,1,5,,,,
20120903,,,,,,,6,27,16,9,,,17,4,,,
20120904,,,,,,,14,24,3,1,,,22,4,,,
20120905,,,,,,,2,12,4,,,,13,1,,,
20120906,,,1,,,,2,3,3,,,,3,2,,,
20120907,,,,,,,1,1,,8,,,,2,,,
20120908,,,,,,,8,2,3,,,,,5,,,
20120909,,1,,,,,14,3,,,,,,12,,,
20120910,,,7,,,,5,4,4,,,,,,,,
20120911,,,,,,,5,3,7,,,,,,,,
20120912,,,,,,,3,1,9,3,,,,1,,,
20120913,,,,,,,4,10,1,17,,,,,,,
20120914,,,,,,,5,3,9,,,,12,6,,,
20120915,,,,,,,5,3,10,,,,8,3,,,
20120916,,,,,,,7,1,4,1,,,,8,,,
20120917,,,,,,,9,1,6,,,,,10,,,
20120918,,,,,,,11,2,8,,,1,4,,,,
20120919,,,,,,,12,1,5,,,,,,,,
20120920,,,,,,,6,11,2,,,,,,,,
20120921,,,6,,,,13,2,,,1,,,,,,
20120922,,,,,,,5,8,2,,,,,,,,
20120923,,,,,2,,18,6,8,,,,,,,,
20120924,,,,,1,,3,3,20,,,,,,,,
20120925,,,,,,,,,,,,,,,,,
20120926,1,,,,2,,,,3,,,,4,,,,
20120927,,,8,,,,,,9,,,,7,,,,
20120928,,,,,1,,,,9,,,,5,,,,
20120929,,2,3,,3,,,,2,,,,,3,,,
20120930,,,,,3,,,,6,4,,,4,7,,,
20121001,,,,,1,,,,,,,,,3,,,
20121002,,,,,3,,,,4,,,,2,9,,,
20121003,1,,1,4,2,,,,3,1,,,2,8,,,
20121004,,,,,4,,,,2,1,,,,,,,
20121005,4,,,,7,,,,4,6,,,,,,,
20121006,,,,,7,,,,1,,,,4,,,,
20121007,,,,,2,,,,10,1,,,,,,,
20121008,,,,,7,,,,1,,,,,,,,
20121009,,,,,6,,,,3,3,,,,,,,
20121010,,,,,7,,,,8,,,,,,,,
20121011,,,1,,4,,,,6,4,,,,,,,
20121012,,,,,6,,,,,1,,,,,,,
20121013,,,,,5,,,,4,2,,,,,,,
20121014,,,,,11,,,,6,,,,,,,,
20121015,,,,,21,,,,3,,,,6,,,,
20121016,,,,,7,,,,2,,,,6,,,,
20121017,,,,,18,,,,1,8,,,,2,,,
20121018,,,4,,12,,,,2,11,,,,10,,,
20121019,,,,1,18,,,,4,3,,,,,,,
20121020,,,4,,17,,,,3,9,,,,2,,,
20121021,,,,,13,,,,1,,,,,,,,
20121022,,,5,,7,,,,3,,,,,,,,
20121023,,,,,,,,,1,,,,,,,,
20121024,,,,,,,,,,,,,,,,,
20121025,,,,,,,,,1,,,,,,,,
20121026,1,,,,,,,,2,1,,2,,,,,
20121027,,,,,,,,,,,,16,,,,,
20121028,,,,,,,,,,,,,2,,,,
20121029,,,1,,,,,,,,,,,,,,
20121030,,,2,,,,,,,,,,,,,,
20121031,,,1,,1,,,,,,,,,,,,
20121101,,,,,3,,,,,,,,,,,,
20121102,1,,,,7,,,,,,,,,,,,
20121103,,,,,4,,,,,,,,1,3,,,
20121104,,,,,3,,,,9,1,,,,3,,,
20121105,,1,,,5,,,,2,,,,6,,,,
20121106,7,,1,,8,,,,3,,,,,,,,
20121107,1,,,,5,,,,3,26,,,,1,,,
20121108,9,,,,13,,,,3,,,,3,,,,
20121109,,,5,,22,,,,2,,,,,,,,
20121110,,,4,,21,,,,1,,1,,1,5,,,
20121111,,,,,18,,,,2,,,,6,,,,
20121112,,,,,8,,,,4,11,,,1,,,,
20121113,7,,,,,,,,6,,,,3,4,,,
20121114,2,,,,4,,,,4,6,,,4,,,,
20121115,,,,,4,,,,6,11,,,5,,,,
20121116,,,7,,10,,,,2,7,,,,1,,,
20121117,,,,,10,,,,3,1,,,2,3,,,
20121118,1,,9,,10,,,,2,,,,,,,,
20121119,1,,,,2,,,,1,1,,,,,,,
20121120,1,,7,,,,,,,,,,,,,,
20121121,,,7,,1,,,,2,,,2,,,,,
20121122,,,,,1,,,,7,,,,,,,,
20121123,,,,,9,,,,7,,,,,,,,
20121124,,,,,,,,,4,,,,,,,,
20121125,,,,,,,,,5,,,,,,,,
20121126,,,,,,,,,,2,,,5,6,,,
20121127,2,,,,,,,,2,,,,5,4,,,
20121128,,,,,5,,,,,,,,,,,,
20121129,,,,,1,,,,,,,,,,,,
20121130,,,,,3,,,,1,10,,,,,,,
20121201,,,,,,,,,4,14,,,,,,,
20121202,,,,,,,,,2,,,,,,,,
20121203,,,,,,,,,,,,,8,4,,,
20121204,,,,,2,,,,,,1,,4,,,,
20121205,,,11,,3,,,,,,,,,1,,,
20121206,,,2,,5,,,,,1,,,,1,,,
20121207,,,,,13,,,,2,1,,,1,4,,,
20121208,,,,,7,,,,3,,,,,4,,,
20121209,,,,,24,,,,2,,,,,,,,
20121210,,,,,13,,,,5,3,,,,,,,
20121211,,,2,,21,,,,9,12,,,2,1,,,
20121212,,,,,,,,,,,,,,,,,
20121213,,,,,,,,,1,,,,,,,,
20121214,,,8,,,,,,10,3,,,,,,,
20121215,,,2,,,,,,5,2,,,,,,,
20121216,,,7,,,,,,6,,,,,,,,
20121217,,,5,,,,,,8,,,,,,,,
20121218,,,2,,,,,,7,1,,,,,,,
20121219,,,2,,,,,,,,,1,7,2,,,
20121220,,,1,,,,,,2,,,,3,,,,
20121221,,,8,,,,,,11,3,1,2,2,,,,
20121222,,,7,,,,,,4,,,,,,,,
20121223,,,6,5,,,,,3,1,,,,2,,,
20121224,,,1,,,,,,1,,,,,,,,
20121225,,,4,,,,,,2,1,,,9,8,,,
20121226,,,,,,,,,5,1,3,,2,1,,,
20121227,,,5,,,,,,2,,,,2,1,,,
20121228,,,13,,,,,,1,,,,1,8,,,
20121229,,,2,,,,,,4,,,,,1,,,
20121230,,,4,3,,,,,1,,,,,2,,,
20121231,,1,6,3,,,,,2,,,,7,7,,,
