日期,台灣水泥股份有限公司蘇澳廠-#3旋窯違規,台灣水泥股份有限公司蘇澳廠-#3冷卻機違規,台灣水泥股份有限公司蘇澳廠-#6旋窯違規,台灣水泥股份有限公司蘇澳廠-#6冷卻機違規,信大水泥股份有限公司南聖湖廠-#2旋窯違規,信大水泥股份有限公司南聖湖廠-#2冷卻機違規,信大水泥股份有限公司南聖湖廠-#3旋窯違規,信大水泥股份有限公司南聖湖廠-#3冷卻機違規,幸福水泥股份有限公司東澳廠-#2旋窯違規,幸福水泥股份有限公司東澳廠-#2冷卻機違規,臺灣化學纖維股份有限公司龍德廠-LT2鍋爐違規,臺灣化學纖維股份有限公司龍德廠-LT3鍋爐違規,潤泰精密材料股份有限公司宜蘭冬山廠-旋窯違規,潤泰精密材料股份有限公司宜蘭冬山廠-冷卻機違規,羅東鋼鐵股份有限公司煉鋼廠-電弧爐違規,宜蘭縣利澤資源回收(焚化)廠-#1焚化爐違規,宜蘭縣利澤資源回收(焚化)廠-#2焚化爐違規
20130419,6,,2,,,,,,4,,1,,,,,,
20130420,6,,10,,1,,,,15,,,,1,,,,
20130421,,,,,1,,,,5,1,,,,,,,
20130422,9,,,,,,,,9,,,,2,,,,
20130423,7,,,,1,,,,19,1,4,,,,,,
20130424,7,,4,,2,,,,8,3,,,2,,,,
20130425,6,,5,,1,,,,,16,,,2,,,,
20130426,7,,,,,,,,1,7,,,,,,,
20130427,,,1,,,,14,,,3,,,,,,,
20130428,5,,6,,,,10,1,1,2,1,,2,,,,
20130429,8,,4,,,,4,4,1,,5,,2,,,,
20130430,6,,,,,,2,3,2,,,,,,,,
20130501,,,,,1,,10,10,4,1,,,,,,,
20130502,,,6,,1,,9,1,4,,,,,,,,
20130503,,,6,,,,2,,4,,,,,,,,
20130504,,,,,,,4,,2,,,,,,,,
20130505,,,,,,,4,,1,,,,,,,,
20130506,,,,,,,,1,9,,,,,,,,
20130507,5,,8,,2,,4,9,7,1,,,,,,,
20130508,4,,19,,,1,5,1,7,,,,,,,,
20130509,,,2,,1,,2,,4,,,,2,,,,
20130510,9,,9,,1,,3,,3,,,,9,,,,
20130511,,,3,,,,6,11,,,,,3,,,,
20130512,,,3,,,,8,20,2,,,,,,,,
20130513,,,6,,,,4,8,3,1,,,10,1,,,
20130514,,8,,1,,,2,,21,,,,3,,,,
20130515,,,2,,,,2,1,12,1,,,3,,,,
20130516,3,,1,,,,7,2,6,,,,,,,,
20130517,5,,1,,,,5,4,5,,,1,5,,,,
20130518,2,1,,,,,13,1,1,,,,6,,,,
20130519,,,5,6,,,7,3,12,,,,,,,,
20130520,1,,3,,,,1,1,9,,,,,,,,
20130521,3,,2,,,,5,4,10,,,,11,,,,
20130522,19,,6,,,,,,9,,,,,,,,
20130523,,,,,,,2,1,7,,,,,,,,
20130524,,,4,,,,4,9,6,,,,,,,,
20130525,,,2,,,,1,4,8,,,,,,,,
20130526,20,,6,,,,6,5,14,,,,,1,,,
20130527,5,6,8,,,,4,3,4,,,,5,,,,
20130528,16,,25,,,,2,,8,1,,,,,,,
20130529,2,,10,,,,5,2,10,,,,,,,,
20130530,3,1,3,,,,5,10,,,,11,,,,,
20130531,15,,3,,,,4,2,,,,,,,,,
20130601,1,,5,,,,11,6,,,,,,,,,
20130602,10,,13,,,,2,4,,,,,,,,,
20130603,15,,,,,,1,4,,,,,,,,,
20130604,,,,,,,5,1,,,,,,,,,
20130605,,,,,,,5,6,,,,,,,,,
20130606,4,,,,,,7,,,,,,,,,,
20130607,,,,,,,3,,,,,,6,,,,
20130608,4,,,,,,3,,,,,,,,,,
20130609,,,,,,,4,9,,,,,,,,,
20130610,,,,,,,4,10,,,,,1,,,,
20130611,1,,,,,,2,16,,,,,2,,,,
20130612,,,,,,,,14,,,,,,2,,,
20130613,,7,,,,,3,3,,,,,,,,,
20130614,,,,,,,4,7,2,,,,1,,,,
20130615,,,,,,,2,5,5,3,,,,,,,
20130616,,,,,,,7,14,5,16,,,,,,,
20130617,1,,,,,,9,20,,,,,,,,,
20130618,1,,2,,,,3,7,,,,,,,,,
20130619,,,2,,,,1,8,2,1,,,,,,,
20130620,20,,32,6,,,5,11,,,,,,,,,
20130621,,,14,,,,20,16,20,,,,11,,,,
20130622,,,9,3,,,5,14,,,,,2,,,,
20130623,,,5,,,,1,14,,,,,,,,,
20130624,1,,6,,,,3,1,,,,,2,1,,,
20130625,,,4,,,,1,1,,,,,,,,,
20130626,,1,2,,,,1,9,5,,4,,,,,,
20130627,6,,7,,,,4,13,2,,7,4,,,,,
20130628,8,,7,,,,6,4,,,,1,,,,,
20130629,,,6,,,,4,10,,4,,,6,,,,
20130630,,,6,,,,3,11,1,2,,,30,,,,
20130701,5,,3,,,,6,17,,,,,20,,,,
20130702,7,,,,,,10,12,1,,,,30,,,,
20130703,4,,9,,,,4,26,2,,,,22,,,,1
20130704,,,5,,,,6,17,2,,,,24,,,,
20130705,,,,,,,2,11,3,1,,,,,,,
20130706,,,4,,,,2,6,,,,,,,,,
20130707,3,,8,,,,,20,,,,,,,,,
20130708,1,,6,,,,7,8,14,,5,,,,,,
20130709,9,,6,,,,,,2,,,,,,,,
20130710,,,5,,,,,4,10,,,,,,,,
20130711,3,,8,,,,1,,4,,,,,,,,
20130712,,,15,,,,1,1,4,,,,,,,,
20130713,5,,6,,,,,11,,3,,,,,,,
20130714,3,,5,,,,2,2,,,1,1,,1,,,
20130715,,,5,,,,7,2,1,,,,15,,,,
20130716,1,,1,,,,2,15,3,,,,1,,,,
20130717,8,,3,,,,7,4,16,,,,,,,,
20130718,17,,5,,,,5,12,5,,,,5,,,,
20130719,6,,1,,,,5,12,,6,,,,,,,
20130720,,,10,,,,9,4,,3,,,4,,,,
20130721,1,,3,,,,1,2,1,,,,1,,,,
20130722,,,8,,,,3,1,2,,,,1,,,,
20130723,5,,,8,,,2,1,,,,,8,,,,
20130724,5,,,,,,4,3,2,,,,6,,,,
20130725,8,,4,1,,,1,5,,,,1,,,,,
20130726,4,,9,,,,6,11,,,,,4,,,,
20130727,,,23,2,,,2,21,1,,,,,,,,
20130728,,,2,,,,11,17,1,,,,,,,,
20130729,,,,,,,11,3,2,,,,,,,,
20130730,6,,8,,,,2,8,1,,,,,,,,
20130731,,,12,,,,,5,2,,,,1,,,,
20130801,1,,8,1,,,2,16,,,,,,,,,
20130802,2,,5,,,,,18,1,,,,,,,,
20130803,,,6,,,,,10,,,,,,,,,
20130804,,,10,,,,,15,2,,,,,,,,
20130805,,,5,,,,1,21,2,,,,,,,,
20130806,,,8,,,,4,,6,,,,,,,,
20130807,,,17,,2,,,,5,,,,,,,,
20130808,,,3,,3,,,,12,,,,,,,,
20130809,4,,,,,,,,9,1,,,,,,,
20130810,,,7,,4,,5,,10,1,,,,,,,
20130811,,,9,,1,,1,5,15,,,,6,,,,
20130812,,,8,,,,,9,8,,,,,,,,
20130813,,,9,,,,3,2,7,,,,1,,,,
20130814,,,18,,,,2,,25,1,,,,,,,
20130815,,1,6,,,,1,2,11,,,,6,,,,
20130816,,,6,,1,,9,,33,,,,1,,,,
20130817,1,,9,,,,4,,17,,,,4,,,,
20130818,1,9,5,,2,,,,12,,,,5,,,,
20130819,,1,6,,1,,1,,,,,3,2,,,,
20130820,,,,,,,1,,15,,2,,4,,,,
20130821,,,,,,,2,5,9,,,,5,,,,
20130822,,,5,,1,,1,,19,1,,,2,1,,,
20130823,,,,,3,,,,1,3,,,9,,,,
20130824,,,2,,,,,,,1,,,7,,,,
20130825,,,1,,,,,,2,,,1,,,,,
20130826,7,1,9,,,,,,1,,,,,,,,
20130827,4,,15,,,,6,,,,,,4,,,,
20130828,,1,6,,,,2,3,2,,,,,,,,
20130829,,,6,,,,1,2,2,,,,1,,,,
20130830,,,9,,,,2,3,,,,,,,,,
20130831,,,4,1,,,6,,3,,,,4,,,,
20130901,,,3,,,,3,4,1,,,1,,,,,
20130902,,,7,,,,1,3,7,,,,,,,,
20130903,,,,,,,4,3,1,,,,2,,,,
20130904,,,,,,,1,,4,,,,,,,,
20130905,,,,,,,1,,1,,,,,,,,
20130906,,9,1,,,,1,1,3,,,,,,,,
20130907,,,4,,,,,4,1,,,,,,,,
20130908,,,11,,,,1,4,,,,,,,,,
20130909,6,,18,,,,2,3,2,,,,,,,,
20130910,3,,2,2,,,1,,,,,,,,,,
20130911,,,9,,,,4,9,3,,,,,,,,
20130912,,1,,2,,,13,12,,,,,,,,,
20130913,,,7,,,,,,11,,,,,,,,
20130914,,,4,,,,1,,,,,,7,2,,,
20130915,3,,3,,,,15,1,12,,,,,,,,
20130916,,,,,,,5,,4,,,,,1,,,
20130917,,,,,,,3,2,2,,,,8,8,,,
20130918,1,,3,,,,9,,,,,,4,3,,,
20130919,,,,,,,7,1,6,,,,9,,,,
20130920,1,,2,3,,,1,2,3,,,,9,,,,
20130921,1,,,,,,2,3,3,11,,,18,15,,,
20130922,,,,,9,,2,2,3,,,,29,,,,
20130923,,,2,,10,,9,1,6,,,,9,,,,
20130924,,,20,,4,,2,1,7,,,,22,,,,
20130925,2,,3,,1,,,,,,,,15,2,,,
20130926,3,,4,,,,,,9,,,,12,1,,,
20130927,8,,14,1,4,,,,3,6,,,3,,,,
20130928,12,,4,,2,,,,1,,,,7,,,,
20130929,8,,8,,3,,,,7,,,,5,,,,
20130930,,,9,,,,,,,,,,2,,,,
20131001,1,1,7,,,,,,3,3,,,6,,,,
20131002,1,,11,,2,,,,12,3,,,,,,,
20131003,2,,9,3,,,,,5,4,,,,,,,
20131004,,,1,,2,,,,,,,,,,,,
20131005,,,9,,4,,,,1,,,,,,,,
20131006,,1,7,,2,,,,,,,,,,,,
20131007,,,6,,4,,,,7,4,,,,,,,
20131008,,,16,,1,,,,1,,,,,,,,
20131009,,,6,,,,,,2,1,,,,,,,
20131010,,,15,,,,,,,7,,,7,,,,
20131011,4,,16,,2,,,,4,7,,,8,,,1,
20131012,,,11,,,,,,1,,,,1,,,,
20131013,,,5,,2,,,,,,,,,,,,
20131014,3,,6,,,,,,,,,,4,,,,
20131015,19,,17,,3,,,,1,1,,,,,,,
20131016,3,,15,4,3,,,,2,,,,,,,,
20131017,,,36,7,,,,,,,,,7,,,,
20131018,,,6,,,,,,,9,,,1,2,,,
20131019,,,10,,2,,,,2,3,,,1,,,,
20131020,,,5,,1,,,,2,,,,1,,,,
20131021,,,10,,,,,,1,1,,,5,,,,
20131022,,,12,2,1,,,,1,,,,1,,,,
20131023,,,1,,2,,,,1,3,,,,,,,
20131024,,,4,,4,,,,14,2,,,4,,,,
20131025,,,7,3,,,8,5,14,3,,,,,,,
20131026,,,24,1,1,,2,9,7,,,,1,,,,
20131027,,,21,6,,,1,,8,14,,,3,,,,
20131028,,,27,,,,,3,2,1,,,2,,,,
20131029,,,10,,,,1,1,7,7,,,,23,,,
20131030,,,20,,,,2,1,8,,,,1,,,,
20131031,,,6,,1,,5,,2,4,,,3,,,,
20131101,,,10,,2,1,4,7,,,,,,,,,
20131102,,,10,,6,,17,,,,,,,,,,
20131103,,,16,,6,,2,1,,,,,,,,,
20131104,12,5,3,,,,4,,,3,,,,,,,
20131105,1,7,2,,,,,,,2,,,,,,,
20131106,,2,4,,,,,6,,,,,,,,,
20131107,5,11,8,,,,,2,2,,,,,,,,
20131108,,,8,,,,1,1,,,,,,,,,
20131109,1,1,26,,,,,11,,1,,,,,,,
20131110,,6,10,,,,,6,1,,,,,,,,
20131111,,,10,,,,,5,2,8,,,1,,,,
20131112,2,,13,,,,3,5,,,,,,3,,,
20131113,4,1,8,,1,,1,1,2,,,,,,,,
20131114,14,2,27,,3,,5,5,,,,,3,,,,
20131115,,,9,,1,,,,1,1,,,5,1,,,
20131116,13,,10,,2,,,,,,,,11,,,,
20131117,14,,22,2,3,,,,,,,,5,1,,,
20131118,17,12,,,2,1,8,1,4,,,,2,,,,
20131119,,15,,,,,3,,,,,,5,,,,
20131120,,2,,,,,13,2,,,,,6,,,,
20131121,26,,,,,,4,9,,,,,4,,,,
20131122,4,2,,,1,,1,,,,,,5,,,,
20131123,14,2,,,,,2,,1,,,,3,,,,
20131124,2,7,,,,,2,,,5,,,18,,,,
20131125,13,6,,,4,,,3,,,,,3,,,,
20131126,6,1,,,,,1,,3,12,,,1,,,,
20131127,2,9,2,4,,,3,2,,,,,4,2,,,
20131128,5,20,,5,,,1,12,5,1,,,3,,,,
20131129,15,25,,6,,,,9,1,12,,,6,,,,
20131130,4,9,11,,,,3,4,,6,,,5,,,,
20131201,1,1,,,,,4,7,6,18,,,5,1,,,
20131202,1,,11,,,,2,7,,2,,,3,3,,,
20131203,4,28,30,,,,2,7,7,17,,,,,,,
20131204,1,26,51,,,,2,7,1,,,,,,,,
20131205,,11,32,,,,7,5,1,4,,,,,,,
20131206,2,16,22,3,,,4,,4,1,,,,,,,
20131207,,,9,,,,8,,2,,,,,,,,
20131208,10,9,13,,,,14,2,,,,,,,,,
20131209,6,4,2,,,,10,,,,,,,,,,
20131210,4,10,19,2,,,2,3,3,15,,,,,,,
20131211,,15,,,,,4,,5,1,,,3,,,,
20131212,,,2,,,,1,,5,3,2,2,4,5,,,
20131213,1,2,9,,,,,,9,3,,,4,,,,
20131214,14,1,25,,,,1,,7,21,,,,,,,
20131215,10,1,8,,,,,1,1,1,,,2,1,,,
20131216,25,,3,,,,1,,1,5,,,8,,,,
20131217,5,,15,,,,,,3,2,,,2,,,,
20131218,5,,4,,,,2,,,27,,,5,,,,
20131219,29,9,1,,,,2,8,1,20,,,6,,,,
20131220,10,,5,13,,,4,2,,11,,,3,,,,
20131221,3,,5,,,,1,6,,8,,,5,15,,,
20131222,7,,6,,,,1,5,,15,,,2,,,,
20131223,4,,4,,,,,3,1,16,4,,7,,,,
20131224,4,,,,,,4,3,2,1,,,3,,,,
20131225,,,3,,,,12,5,5,4,,,8,,,,
20131226,,,3,4,,,6,3,9,10,,,13,1,,,
20131227,,,7,3,,,1,9,31,16,,1,7,2,,,
20131228,12,9,2,11,,,,5,5,6,,,9,,,,
20131229,7,,8,,,,7,6,6,9,,1,6,,,,
20131230,6,,5,,,,1,,3,33,,,3,,,,
20131231,8,,1,,,1,,,5,21,,,5,1,,,
