日期,台灣水泥股份有限公司蘇澳廠-#3旋窯違規,台灣水泥股份有限公司蘇澳廠-#3冷卻機違規,台灣水泥股份有限公司蘇澳廠-#6旋窯違規,台灣水泥股份有限公司蘇澳廠-#6冷卻機違規,信大水泥股份有限公司南聖湖廠-#2旋窯違規,信大水泥股份有限公司南聖湖廠-#2冷卻機違規,信大水泥股份有限公司南聖湖廠-#3旋窯違規,信大水泥股份有限公司南聖湖廠-#3冷卻機違規,幸福水泥股份有限公司東澳廠-#2旋窯違規,幸福水泥股份有限公司東澳廠-#2冷卻機違規,臺灣化學纖維股份有限公司龍德廠-LT2鍋爐違規,臺灣化學纖維股份有限公司龍德廠-LT3鍋爐違規,潤泰精密材料股份有限公司宜蘭冬山廠-旋窯違規,潤泰精密材料股份有限公司宜蘭冬山廠-冷卻機違規,羅東鋼鐵股份有限公司煉鋼廠-電弧爐違規,宜蘭縣利澤資源回收(焚化)廠-#1焚化爐違規,宜蘭縣利澤資源回收(焚化)廠-#2焚化爐違規
20150101,4,,10,15,,,24,2,1,,,,,,,,
20150102,4,,1,,,,7,12,2,6,,,,,,,
20150103,14,,,,,,6,8,2,2,,,,,,,
20150104,,1,3,,,,6,8,4,1,,,,,,,
20150105,1,2,8,,,,1,,3,,,,,,,,
20150106,3,,21,,,,2,3,5,,4,,,,,,
20150107,12,,20,,,,1,,20,,,,,,,,
20150108,10,,18,5,,,19,6,23,,,,,,,,
20150109,,,31,,,,,,17,4,,,,,,,
20150110,4,,14,,,,2,1,1,,,,5,1,,,
20150111,2,,5,,,,6,8,,3,,,7,1,,,
20150112,3,,4,,,,6,,2,1,,,1,,,,
20150113,14,,,,,,3,13,1,,,,1,,,,
20150114,10,,,,,,2,10,9,,,,2,,,,
20150115,1,,,,,,,,2,5,,,,,,,
20150116,,,,,,,1,6,12,1,,,1,,,,
20150117,,,,,,,5,15,14,5,,,4,,,,
20150118,7,1,,,,,,9,9,,,,,,,,
20150119,12,,,,,,2,11,9,1,,,2,,,,
20150120,3,2,1,,,,,7,17,,,,4,,,,
20150121,15,,6,4,,,,9,2,2,,,6,,,,
20150122,1,,2,,,,3,14,,,,,,,,,
20150123,6,,4,,,,,6,2,3,,,,,,,
20150124,3,,28,,10,,3,9,2,1,,,1,,,,
20150125,2,,28,,1,,8,2,,8,,,1,,,,
20150126,,,22,,,,1,1,,3,,,1,,,,
20150127,,,4,,1,1,,2,2,2,,,8,1,,,
20150128,2,,5,,,,14,1,,3,,,9,3,,,
20150129,1,,7,,2,,1,,,2,,,,,,,
20150130,7,,2,,,,,,2,4,,,1,,,,
20150131,11,,1,,1,,,,1,9,,,2,,,,
20150201,8,2,5,,,,,,,6,,,3,,,,
20150202,7,6,2,1,,,,,,1,,,,,,,
20150203,15,,7,,,,,,3,,,,,,,,
20150204,16,1,11,,,,,,6,7,,,,,,,
20150205,2,,7,,,8,,,4,4,,,,,,,
20150206,2,,10,,,,,,1,11,,,10,10,,,
20150207,6,,11,,1,,,,10,,,,1,8,,,
20150208,,,4,4,1,,,,2,14,,,2,,,,
20150209,24,,1,2,1,,,,3,22,,10,,9,,,
20150210,15,,10,,2,,,,,7,,,,5,,,
20150211,16,,11,,,,,,,15,,,,,,,
20150212,8,,10,,5,1,,,2,3,,,9,,,,
20150213,19,,11,,,,,,,2,,2,3,,,,
20150214,32,,16,,3,,,,5,3,,,,4,,,
20150215,14,,10,,,,,,5,2,,,1,,,,
20150216,11,12,9,,2,2,,,5,13,,,4,7,,,
20150217,8,2,8,3,,,,,17,6,,,5,,,,
20150218,8,,20,,,,,,9,,,,3,,,,
20150219,6,2,18,,,,,,6,1,,,1,,,,
20150220,4,,11,,,,,,4,16,,,4,,,,
20150221,3,,16,,,,,,5,1,,,,,,,
20150222,11,,1,,,,,,6,3,,,,,,,
20150223,1,,17,,,,,,,,,,,,,,
20150224,27,,6,,,,,,,,,,,,,,
20150225,14,,10,,,,,,,,,,,,,,
20150226,1,,27,,,,2,,,,,,,,,,
20150227,,,23,,,,,1,7,,,,,,,,
20150228,22,,19,,,,8,1,24,,,,,,,,
20150301,7,,24,1,,,3,7,,11,,,,,,,
20150302,6,1,3,,,,6,4,,22,,,,,,,
20150303,,,26,,,,1,1,,,,,,,,,
20150304,5,,23,,,,1,2,,,,,,,,,
20150305,,,17,,,,,1,,,,,,,,,
20150306,2,,9,,,,4,,,,,,,,,,
20150307,3,,4,,,,,2,,7,,,,,,,
20150308,,,13,,,,4,1,,2,,,,,,,
20150309,1,,3,,,,1,,,2,,,,,,,
20150310,,,12,,,,2,2,6,2,,,,,,,
20150311,3,1,,,,,1,2,2,2,,,,,,,
20150312,1,,25,,,,1,5,,,,,,,,,
20150313,2,1,2,,,,1,3,1,3,,,5,5,,,
20150314,2,,5,,,,,1,6,1,,,9,11,,,
20150315,,,8,,,,,,4,13,,,7,4,,,
20150316,,,8,,,,27,2,1,1,,,2,,,,
20150317,,,2,,,,1,1,,26,,,,,,,
20150318,,,14,,,,,,1,18,,,,,,,
20150319,,,15,,,,,2,5,,,,3,3,,,
20150320,3,,28,,,,1,,,,,,,,,,
20150321,2,,15,,,,,1,11,1,,,1,,,,
20150322,7,,2,,,,,10,2,28,,,,,,,
20150323,5,,20,,,,1,8,5,8,,,16,,,,
20150324,19,,9,,,,2,7,12,,,,5,,,,
20150325,7,,4,,,,,7,,,,,,,,,
20150326,1,,4,,,,1,2,,,,,,,,,
20150327,,,3,,,,3,2,,,,,,,,,
20150328,,,3,1,,,1,,8,,,,,,,,
20150329,5,,1,,,,1,1,14,,,,1,,,,
20150330,,,,,,,1,,5,,,,,,,,
20150331,2,,5,,,,,,5,,,,,,,,
20150401,,1,,,,,,,3,2,,,3,2,,,
20150402,,,5,,,,,,2,,,,,,,,
20150403,,,12,,,,,3,4,,,,,,,,
20150404,,,17,,,,,,5,,,,,,,,
20150405,,,6,,,,,,15,,,,,,,,
20150406,1,,6,,,,,1,13,,,,,,,,
20150407,1,,3,,,,4,1,6,,,1,6,,,,
20150408,1,,18,,4,,,,3,2,,,,1,,,
20150409,4,,25,1,4,,,,4,3,,,1,,,,
20150410,5,,32,,11,,,,3,4,,,1,,,,
20150411,,,3,,2,,2,,11,6,,,,,,,
20150412,,,1,,4,,,1,3,,,,9,,,,
20150413,34,,,,9,,2,3,1,,,,,1,,,
20150414,3,,,,5,,5,,1,,,,1,,,,
20150415,8,,,,4,,2,2,4,2,,,2,2,,,
20150416,1,,,,,,10,,3,,,,4,15,,,
20150417,,,,,5,,3,3,3,,,,,,,,
20150418,,,,,,,,6,2,8,,,1,,,,
20150419,,,,,,,16,,,,,,,10,,,
20150420,4,,,,3,,11,1,9,5,,,2,,,,
20150421,,,,,5,,,,1,2,1,,5,,,,
20150422,3,,,,,,2,,8,,,,1,,,,
20150423,,,,,,,4,3,6,4,1,,,,,,
20150424,1,,,,,,7,,7,18,,,,,,,
20150425,1,,,,,,1,1,10,8,,,,,,,
20150426,,,,,,,,,2,6,,,,,,,
20150427,,,,,,,1,1,7,,,,,,,,
20150428,15,2,3,,,,2,1,,1,,,4,,,,
20150429,2,1,,,,,,13,3,,,,1,,,,
20150430,3,,,,,,2,1,36,10,,,,,,,
20150501,,,2,,,,,,14,7,,,,,,,
20150502,,,1,,,,,,6,2,,,1,,,,
20150503,,,13,,,,,,,3,,,,,,,
20150504,1,,1,,1,,,,,,,,,,,,
20150505,,,2,,2,,,,,,,,,,,,
20150506,,,2,,3,,1,,,,,,,,,,
20150507,10,,7,,,,11,,,,,,,,,,
20150508,6,,10,,,,5,2,,,,,,,,,
20150509,2,,16,,1,,2,,,,,,5,3,,,
20150510,,,11,,2,,,3,,,,,,,,,
20150511,,,17,,,2,6,2,,,,,1,,,,
20150512,4,,10,1,,,14,8,,,,,4,,,,
20150513,13,,9,,,,9,7,,,,,4,,,,
20150514,,,,,,,1,1,,,,,15,,,,
20150515,,,3,,,,,,,,,,11,,,,
20150516,3,,,,,,,,,,1,,1,,,,
20150517,11,,2,,,,,3,8,,,,19,,,,
20150518,1,,1,,,,1,1,11,,,,16,,,,
20150519,11,,6,,,,3,2,12,,,,4,,,,
20150520,2,,1,,,,3,9,16,,,,12,,,,
20150521,3,,2,,,,11,10,28,,,,2,,,,
20150522,,,1,,,,10,1,1,,,,1,,,,
20150523,2,,,,,,16,4,,,,,13,,,,
20150524,,,3,,,,1,1,,,,,2,,,,
20150525,4,,,,,,2,2,6,,,,1,,,,
20150526,2,1,,,,,13,,3,,,,,,,,
