日期,台灣水泥股份有限公司蘇澳廠-P101 #3旋窯-不透光率(20%)-超標,台灣水泥股份有限公司蘇澳廠-P101 #3旋窯-氮氧化物(450ppm)-超標,台灣水泥股份有限公司蘇澳廠-P102 #3冷卻機-不透光率(10%)-超標,台灣水泥股份有限公司蘇澳廠-P202 #3旋窯-不透光率(20%)-超標,台灣水泥股份有限公司蘇澳廠-P202 #3旋窯-氮氧化物(450ppm)-超標,台灣水泥股份有限公司蘇澳廠-P301 #6旋窯-不透光率(20%)-超標,台灣水泥股份有限公司蘇澳廠-P301 #6旋窯-氮氧化物(450ppm)-超標,台灣水泥股份有限公司蘇澳廠-P302 #6冷卻機-不透光率(10%)-超標,信大水泥股份有限公司南聖湖廠-P201 #2旋窯-不透光率(20%)-超標,信大水泥股份有限公司南聖湖廠-P201 #2旋窯-氮氧化物(450ppm)-超標,信大水泥股份有限公司南聖湖廠-P203 #2冷卻機-不透光率(10%)-超標,信大水泥股份有限公司南聖湖廠-P301 #3旋窯-不透光率(20%)-超標,信大水泥股份有限公司南聖湖廠-P301 #3旋窯-氮氧化物(450ppm)-超標,信大水泥股份有限公司南聖湖廠-P304 #3冷卻機-不透光率(10%)-超標,幸福水泥股份有限公司東澳廠-P002 #2旋窯-不透光率(20%)-超標,幸福水泥股份有限公司東澳廠-P002 #2旋窯-氮氧化物(450ppm)-超標,幸福水泥股份有限公司東澳廠-P004 #2冷卻機-不透光率(10%)-超標,臺灣化學纖維股份有限公司龍德廠-P105 LT2鍋爐-不透光率(20%)-超標,臺灣化學纖維股份有限公司龍德廠-P105 LT2鍋爐-二氧化硫(20ppm)-超標,臺灣化學纖維股份有限公司龍德廠-P115 LT3鍋爐-不透光率(20%)-超標,臺灣化學纖維股份有限公司龍德廠-P115 LT3鍋爐-二氧化硫(20ppm)-超標,臺灣化學纖維股份有限公司龍德廠-P115 LT3鍋爐-氮氧化物(50ppm)-超標,潤泰精密材料股份有限公司宜蘭冬山廠-P002 旋窯-不透光率(20%)-超標,潤泰精密材料股份有限公司宜蘭冬山廠-P002 旋窯-氮氧化物(450ppm)-超標,潤泰精密材料股份有限公司宜蘭冬山廠-P007 冷卻機-不透光率(10%)-超標,羅東鋼鐵股份有限公司煉鋼廠-P001 電弧爐-不透光率(10%)-超標,宜蘭縣利澤資源回收(焚化)廠-P001 #1焚化爐-不透光率(20%)-超標,宜蘭縣利澤資源回收(焚化)廠-P001 #1焚化爐-氮氧化物(95.5ppm)-超標,宜蘭縣利澤資源回收(焚化)廠-P001 #1焚化爐-一氧化碳(72.7ppm)-超標,宜蘭縣利澤資源回收(焚化)廠-P001 #1焚化爐-氯化氫(27.3ppm)-超標,宜蘭縣利澤資源回收(焚化)廠-P002 #2焚化爐-不透光率(20%)-超標,宜蘭縣利澤資源回收(焚化)廠-P002 #2焚化爐-氮氧化物(95.5ppm)-超標,宜蘭縣利澤資源回收(焚化)廠-P002 #2焚化爐-一氧化碳(72.7ppm)-超標,宜蘭縣利澤資源回收(焚化)廠-P002 #2焚化爐-氯化氫(27.3ppm)-超標
20150112,8/8,0/0,0/0,3/3,0/0,2/2,2/2,0/0,1/0,0/0,1/0,5/5,1/1,0/0,3/2,0/0,2/1,0/0,1/0,0/0,0/0,0/0,1/1,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0
20150113,1/1,0/0,0/0,14/14,0/0,0/0,0/0,0/0,1/0,0/0,1/0,0/0,3/3,14/13,2/1,0/0,1/0,0/0,0/0,0/0,1/0,0/0,2/1,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0
20150114,0/0,0/0,0/0,10/10,0/0,0/0,0/0,0/0,1/0,0/0,1/0,5/2,0/0,16/10,10/9,0/0,3/0,1/0,0/0,0/0,1/0,0/0,2/2,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0
20150115,0/0,0/0,0/0,1/1,0/0,0/0,0/0,0/0,1/0,0/0,1/0,3/0,0/0,4/0,3/2,0/0,6/5,0/0,0/0,0/0,1/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0
20150116,1/1,0/0,0/0,0/0,0/0,0/0,0/0,0/0,1/0,0/0,1/0,0/0,1/1,6/6,13/12,0/0,2/1,0/0,0/0,0/0,1/0,0/0,1/1,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0
20150117,6/6,0/0,0/0,0/0,0/0,0/0,0/0,0/0,1/0,0/0,1/0,0/0,6/5,16/15,15/14,0/0,6/5,0/0,0/0,0/0,1/0,0/0,4/4,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0
20150118,20/20,0/0,1/1,7/7,0/0,0/0,0/0,0/0,1/0,0/0,1/0,0/0,0/0,9/9,10/9,0/0,1/0,0/0,0/0,0/0,1/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0
20150119,24/24,0/0,0/0,12/12,0/0,0/0,0/0,0/0,1/0,0/0,1/0,3/2,0/0,12/11,11/9,0/0,2/1,0/0,0/0,0/0,1/0,0/0,2/2,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0
20150120,8/8,1/1,3/2,2/2,1/1,1/1,0/0,0/0,3/0,0/0,1/0,0/0,0/0,7/7,18/17,0/0,1/0,0/0,0/0,0/0,1/0,0/0,4/4,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0
20150121,9/9,0/0,0/0,15/15,0/0,5/5,1/1,4/4,3/0,0/0,7/0,0/0,0/0,9/9,3/2,0/0,3/2,0/0,0/0,0/0,1/0,0/0,6/6,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0
20150122,15/15,0/0,0/0,1/1,0/0,2/2,0/0,0/0,1/0,0/0,4/0,2/2,1/1,14/14,1/0,0/0,1/0,0/0,0/0,0/0,1/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0
20150123,13/13,0/0,0/0,6/6,0/0,4/4,0/0,0/0,3/0,0/0,1/0,0/0,0/0,6/6,3/2,0/0,32/3,0/0,0/0,0/0,1/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0
20150124,6/6,2/2,0/0,2/2,1/1,28/28,0/0,0/0,9/8,2/2,0/0,2/2,1/1,9/9,3/2,0/0,2/1,0/0,0/0,0/0,1/0,0/0,1/1,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0
20150125,16/15,1/1,0/0,1/1,1/1,28/28,0/0,0/0,1/1,0/0,0/0,7/7,1/1,2/2,1/0,0/0,11/8,0/0,0/0,0/0,1/0,0/0,1/1,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0
20150126,0/0,0/0,0/0,0/0,0/0,23/22,0/0,0/0,0/0,0/0,0/0,1/1,0/0,1/1,1/0,0/0,5/3,0/0,0/0,0/0,1/0,0/0,1/1,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0
20150127,1/1,0/0,0/0,0/0,0/0,4/4,0/0,0/0,7/1,0/0,1/1,0/0,0/0,2/2,3/2,0/0,5/2,0/0,0/0,0/0,1/0,0/0,8/8,0/0,1/1,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0
20150128,1/1,0/0,0/0,2/2,0/0,5/5,0/0,0/0,0/0,0/0,0/0,13/13,2/1,1/1,1/0,0/0,5/3,0/0,0/0,0/0,1/0,0/0,9/9,0/0,4/3,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0
20150129,3/3,1/1,0/0,0/0,1/1,7/7,0/0,0/0,2/2,0/0,0/0,6/1,0/0,6/0,1/0,0/0,3/2,0/0,0/0,0/0,1/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0
20150130,12/12,6/6,0/0,2/2,5/5,2/2,0/0,0/0,0/0,0/0,0/0,1/0,0/0,1/0,3/2,0/0,5/4,0/0,0/0,0/0,2/0,0/0,1/1,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0
20150131,0/0,0/0,0/0,11/11,0/0,1/1,0/0,0/0,1/1,0/0,0/0,1/0,0/0,1/0,2/1,0/0,11/9,0/0,0/0,0/0,1/0,0/0,3/2,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0
20150201,9/9,0/0,2/2,9/8,0/0,5/5,0/0,0/0,0/0,0/0,0/0,1/0,0/0,1/0,1/0,0/0,7/6,0/0,0/0,0/0,1/0,1/0,7/3,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0
20150202,13/12,1/1,6/6,6/6,1/1,2/2,0/0,1/1,0/0,0/0,0/0,1/0,0/0,1/0,1/0,0/0,2/1,0/0,0/0,0/0,1/0,0/0,6/0,0/0,1/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0
20150203,4/4,0/0,0/0,15/15,0/0,7/7,0/0,0/0,0/0,0/0,0/0,1/0,0/0,1/0,4/3,0/0,1/0,0/0,0/0,0/0,1/0,1/0,1/0,0/0,1/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0
20150204,10/10,0/0,1/1,16/16,0/0,11/11,0/0,0/0,0/0,0/0,0/0,1/0,0/0,1/0,7/6,0/0,12/7,0/0,0/0,0/0,1/0,0/0,1/0,0/0,25/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0
20150205,2/2,0/0,0/0,2/2,0/0,7/6,1/1,0/0,0/0,0/0,8/8,1/0,0/0,1/0,5/4,0/0,5/4,0/0,0/0,0/0,4/0,2/0,3/0,0/0,1/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0
20150206,7/7,2/2,0/0,2/2,0/0,10/10,0/0,0/0,0/0,0/0,0/0,1/0,0/0,1/0,3/1,0/0,15/11,0/0,1/0,0/0,0/0,0/0,11/10,0/0,12/10,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0
20150207,12/11,0/0,0/0,6/6,0/0,12/11,0/0,0/0,6/1,0/0,0/0,1/0,0/0,1/0,11/10,0/0,1/0,0/0,0/0,106/0,0/0,0/0,1/1,0/0,8/8,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0
20150208,6/6,0/0,0/0,0/0,0/0,4/4,1/0,4/4,1/1,0/0,0/0,1/0,0/0,1/0,3/2,0/0,17/14,0/0,0/0,14/0,1/0,0/0,2/2,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0
20150209,3/3,0/0,0/0,24/24,0/0,1/1,0/0,2/2,0/0,1/1,0/0,1/0,0/0,2/0,7/3,0/0,26/22,0/0,0/0,9/9,0/0,1/1,0/0,0/0,9/9,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0
20150210,0/0,0/0,0/0,15/15,0/0,10/10,0/0,0/0,0/0,2/2,0/0,1/0,0/0,1/0,1/0,0/0,8/7,0/0,0/0,0/0,0/0,0/0,0/0,0/0,5/5,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0
20150211,0/0,0/0,0/0,16/16,0/0,11/11,0/0,0/0,0/0,0/0,0/0,1/0,0/0,1/0,1/0,0/0,16/15,0/0,0/0,0/0,1/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0
20150212,4/4,0/0,0/0,8/8,0/0,10/10,0/0,0/0,6/5,0/0,1/1,1/0,0/0,1/0,3/2,0/0,4/3,0/0,0/0,0/0,1/0,0/0,9/9,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0
20150213,4/4,1/1,0/0,20/19,0/0,11/11,0/0,0/0,0/0,0/0,0/0,1/0,0/0,1/0,2/0,0/0,5/2,0/0,0/0,2/2,1/0,0/0,3/3,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0
20150214,2/2,1/1,0/0,31/31,1/1,17/16,0/0,0/0,1/1,2/2,0/0,1/0,0/0,1/0,6/5,0/0,4/3,0/0,0/0,0/0,0/0,0/0,0/0,0/0,4/4,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0
20150215,0/0,1/1,0/0,13/13,1/1,10/10,0/0,0/0,0/0,0/0,0/0,1/0,0/0,1/0,6/5,0/0,4/2,0/0,0/0,0/0,0/0,0/0,1/1,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0
20150216,8/8,6/6,12/12,12/11,0/0,10/9,0/0,0/0,10/2,0/0,2/2,1/0,0/0,6/0,6/5,0/0,14/13,0/0,0/0,0/0,0/0,0/0,4/4,0/0,7/7,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0
20150217,0/0,5/5,2/2,5/5,3/3,8/8,0/0,3/3,4/0,0/0,2/0,1/0,0/0,1/0,18/17,0/0,7/6,0/0,0/0,0/0,0/0,0/0,5/5,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0
20150218,2/2,2/2,0/0,7/7,1/1,20/20,0/0,0/0,1/0,0/0,1/0,1/0,0/0,1/0,10/9,0/0,1/0,0/0,1/0,0/0,0/0,0/0,3/3,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0
20150219,1/1,0/0,2/2,7/6,0/0,18/18,0/0,0/0,1/0,0/0,1/0,1/0,0/0,1/0,7/6,0/0,2/1,0/0,1/0,0/0,0/0,0/0,1/1,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0
20150220,0/0,1/1,0/0,3/3,1/1,11/11,0/0,0/0,1/0,0/0,1/0,1/0,0/0,1/0,5/4,0/0,18/16,0/0,1/0,0/0,0/0,0/0,6/4,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0
20150221,0/0,1/1,0/0,2/2,1/1,16/16,0/0,0/0,1/0,0/0,1/0,1/0,0/0,1/0,7/5,0/0,2/1,0/0,6/0,0/0,0/0,0/0,2/0,0/0,1/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0
20150222,1/1,0/0,0/0,11/11,0/0,1/1,0/0,0/0,1/0,0/0,1/0,1/0,0/0,1/0,13/6,0/0,10/3,0/0,8/0,0/0,0/0,0/0,1/0,0/0,1/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0
20150223,6/6,0/0,0/0,1/1,0/0,17/17,0/0,0/0,1/0,0/0,1/0,1/0,0/0,1/0,9/0,0/0,10/0,0/0,1/0,0/0,0/0,0/0,1/0,0/0,1/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0
20150224,1/1,0/0,0/0,28/27,0/0,6/6,0/0,0/0,1/0,0/0,1/0,1/0,0/0,2/0,0/0,0/0,1/0,0/0,1/0,0/0,0/0,0/0,1/0,0/0,12/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0
20150225,6/6,0/0,0/0,14/14,0/0,10/10,0/0,0/0,1/0,0/0,1/0,1/0,0/0,1/0,0/0,0/0,17/0,0/0,2/0,0/0,0/0,0/0,1/0,0/0,20/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0
20150226,1/1,0/0,0/0,1/1,0/0,27/27,0/0,0/0,1/0,0/0,1/0,0/0,2/2,0/0,0/0,0/0,7/0,11/0,1/0,0/0,0/0,0/0,1/0,0/0,12/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0
20150227,6/6,0/0,0/0,0/0,0/0,23/23,0/0,0/0,1/0,0/0,1/0,1/0,0/0,1/1,9/7,0/0,1/0,0/0,1/0,0/0,0/0,0/0,1/0,0/0,1/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0
20150228,31/31,0/0,0/0,23/22,0/0,20/19,0/0,0/0,1/0,0/0,1/0,7/7,1/1,1/1,26/24,0/0,1/0,0/0,1/0,0/0,0/0,0/0,1/0,0/0,1/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0
20150301,2/2,1/1,0/0,7/7,0/0,24/24,0/0,1/1,1/0,0/0,1/0,3/1,2/2,7/7,1/0,0/0,12/11,0/0,1/0,0/0,0/0,0/0,1/0,0/0,1/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0
20150302,8/8,4/4,1/1,5/5,1/1,3/3,0/0,0/0,1/0,0/0,1/0,5/4,2/2,4/4,1/0,0/0,24/22,0/0,1/0,0/0,0/0,0/0,2/0,0/0,3/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0
20150303,2/0,0/0,0/0,0/0,0/0,28/26,0/0,0/0,1/0,0/0,4/0,1/1,0/0,1/1,1/0,0/0,1/0,0/0,1/0,0/0,0/0,0/0,1/0,0/0,1/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0
20150304,3/3,1/1,0/0,6/5,0/0,24/23,0/0,0/0,1/0,0/0,1/0,1/1,0/0,2/2,1/0,0/0,1/0,0/0,2/0,0/0,0/0,0/0,1/0,0/0,1/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0
20150305,0/0,1/1,0/0,0/0,0/0,17/17,0/0,0/0,1/0,0/0,1/0,0/0,0/0,1/1,1/0,0/0,1/0,0/0,1/0,0/0,0/0,0/0,1/0,0/0,1/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0
20150306,0/0,2/2,0/0,0/0,2/2,9/9,0/0,0/0,1/0,0/0,1/0,3/3,1/1,0/0,1/0,0/0,1/0,0/0,1/0,0/0,0/0,0/0,1/0,0/0,1/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0
20150307,2/2,2/2,0/0,1/1,2/2,4/4,0/0,0/0,1/0,0/0,1/0,0/0,0/0,2/2,1/0,0/0,9/7,0/0,2/0,0/0,0/0,0/0,1/0,0/0,1/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0
20150308,1/1,0/0,0/0,0/0,0/0,14/13,0/0,0/0,1/0,0/0,1/0,2/2,2/2,1/1,1/0,0/0,3/2,0/0,2/0,0/0,0/0,0/0,1/0,0/0,4/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0
20150309,3/3,0/0,0/0,1/1,0/0,3/3,0/0,0/0,1/0,0/0,1/0,0/0,1/1,0/0,1/0,0/0,3/2,0/0,2/0,0/0,0/0,0/0,1/0,0/0,1/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0
20150310,4/4,0/0,0/0,0/0,0/0,12/12,0/0,0/0,1/0,0/0,1/0,8/2,0/0,4/2,7/6,0/0,3/2,0/0,1/0,0/0,0/0,0/0,1/0,0/0,20/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0
20150311,3/2,2/2,1/1,1/1,2/2,0/0,0/0,0/0,1/0,0/0,1/0,0/0,1/1,2/2,3/2,0/0,3/2,0/0,1/0,0/0,0/0,0/0,1/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0
20150312,3/3,1/1,0/0,0/0,1/1,25/25,0/0,0/0,1/0,0/0,1/0,1/1,0/0,5/5,1/0,0/0,1/0,0/0,1/0,0/0,0/0,0/0,1/0,0/0,6/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0
20150313,4/4,1/1,1/1,3/2,0/0,2/2,0/0,0/0,1/0,0/0,1/0,0/0,1/1,3/3,2/1,0/0,4/3,16/0,1/0,0/0,0/0,0/0,11/5,0/0,6/5,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0
20150314,0/0,1/1,0/0,0/0,2/2,5/5,0/0,0/0,1/0,0/0,1/0,0/0,0/0,1/1,7/6,0/0,2/1,0/0,13/0,0/0,0/0,0/0,9/9,0/0,11/11,0/0,0/0,1/0,0/0,1/0,0/0,0/0,0/0,0/0
20150315,1/1,0/0,0/0,0/0,0/0,8/8,0/0,0/0,1/0,0/0,1/0,0/0,0/0,0/0,5/4,0/0,14/13,0/0,2/0,0/0,0/0,0/0,7/7,0/0,4/4,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0
20150316,5/4,0/0,0/0,0/0,0/0,8/8,0/0,0/0,1/0,0/0,1/0,28/27,0/0,2/2,2/1,0/0,3/1,0/0,2/0,0/0,0/0,0/0,3/2,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0
20150317,0/0,0/0,0/0,0/0,0/0,2/2,0/0,0/0,1/0,0/0,1/0,4/1,0/0,2/1,1/0,0/0,27/26,0/0,2/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0
20150318,1/1,0/0,0/0,0/0,0/0,14/14,0/0,0/0,1/0,0/0,1/0,0/0,0/0,0/0,2/1,0/0,19/18,33/0,2/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0
