日期,台灣水泥股份有限公司蘇澳廠-#3旋窯違規,台灣水泥股份有限公司蘇澳廠-#3冷卻機違規,台灣水泥股份有限公司蘇澳廠-#6旋窯違規,台灣水泥股份有限公司蘇澳廠-#6冷卻機違規,信大水泥股份有限公司南聖湖廠-#2旋窯違規,信大水泥股份有限公司南聖湖廠-#2冷卻機違規,信大水泥股份有限公司南聖湖廠-#3旋窯違規,信大水泥股份有限公司南聖湖廠-#3冷卻機違規,幸福水泥股份有限公司東澳廠-#2旋窯違規,幸福水泥股份有限公司東澳廠-#2冷卻機違規,臺灣化學纖維股份有限公司龍德廠-LT2鍋爐違規,臺灣化學纖維股份有限公司龍德廠-LT3鍋爐違規,潤泰精密材料股份有限公司宜蘭冬山廠-旋窯違規,潤泰精密材料股份有限公司宜蘭冬山廠-冷卻機違規,羅東鋼鐵股份有限公司煉鋼廠-電弧爐違規,宜蘭縣利澤資源回收(焚化)廠-#1焚化爐違規,宜蘭縣利澤資源回收(焚化)廠-#2焚化爐違規
20110515,,,,,,,,3,,,,,,,,,
20110516,,,,,,,1,7,,,,,24,3,,,
20110517,,,,,,,6,14,,,,,,,,,
20110518,,,,,,,6,,,,,,1,,,,
20110519,,,,,,,,7,,,,,1,,,,
20110520,4,,,,,,1,10,,,,,,,,,
20110521,,,,,,,2,14,,3,,,,,,,
20110522,,,,,,,,1,11,1,,,1,,,,
20110523,4,,,,,,1,27,28,,,,18,9,,,
20110524,,,13,,,,4,20,5,1,,,2,8,,,
20110525,,,,,,,3,5,2,10,1,,2,,,,
20110526,2,9,,,7,,5,4,,1,,,2,,,,
20110527,1,,,,1,,3,1,2,21,1,,10,,,,
20110528,,,,,,,10,8,1,23,,,,,,,
20110529,,,,,3,,4,,1,2,,,,,,,
20110530,,,11,,5,,6,6,,2,,,,,,,
20110531,,,,,2,,18,,1,13,,,,,,,
20110601,,,,,1,,16,2,1,4,,,,,,,
20110602,1,,21,,1,,9,,3,,,,,4,,,
20110603,,,,,3,,9,3,7,2,1,,,,,,
20110604,,,,,10,,10,,1,,,,,,,,
