日期,台灣水泥股份有限公司蘇澳廠-P101 #3旋窯-不透光率(20%)-超標,台灣水泥股份有限公司蘇澳廠-P101 #3旋窯-氮氧化物(450ppm)-超標,台灣水泥股份有限公司蘇澳廠-P102 #3冷卻機-不透光率(10%)-超標,台灣水泥股份有限公司蘇澳廠-P202 #3旋窯-不透光率(20%)-超標,台灣水泥股份有限公司蘇澳廠-P202 #3旋窯-氮氧化物(450ppm)-超標,台灣水泥股份有限公司蘇澳廠-P301 #6旋窯-不透光率(20%)-超標,台灣水泥股份有限公司蘇澳廠-P301 #6旋窯-氮氧化物(450ppm)-超標,台灣水泥股份有限公司蘇澳廠-P302 #6冷卻機-不透光率(10%)-超標,信大水泥股份有限公司南聖湖廠-P201 #2旋窯-不透光率(20%)-超標,信大水泥股份有限公司南聖湖廠-P201 #2旋窯-氮氧化物(450ppm)-超標,信大水泥股份有限公司南聖湖廠-P203 #2冷卻機-不透光率(10%)-超標,信大水泥股份有限公司南聖湖廠-P301 #3旋窯-不透光率(20%)-超標,信大水泥股份有限公司南聖湖廠-P301 #3旋窯-氮氧化物(450ppm)-超標,信大水泥股份有限公司南聖湖廠-P304 #3冷卻機-不透光率(10%)-超標,幸福水泥股份有限公司東澳廠-P002 #2旋窯-不透光率(20%)-超標,幸福水泥股份有限公司東澳廠-P002 #2旋窯-氮氧化物(450ppm)-超標,幸福水泥股份有限公司東澳廠-P004 #2冷卻機-不透光率(10%)-超標,臺灣化學纖維股份有限公司龍德廠-P105 LT2鍋爐-不透光率(20%)-超標,臺灣化學纖維股份有限公司龍德廠-P105 LT2鍋爐-二氧化硫(20ppm)-超標,臺灣化學纖維股份有限公司龍德廠-P115 LT3鍋爐-不透光率(20%)-超標,臺灣化學纖維股份有限公司龍德廠-P115 LT3鍋爐-二氧化硫(20ppm)-超標,臺灣化學纖維股份有限公司龍德廠-P115 LT3鍋爐-氮氧化物(50ppm)-超標,潤泰精密材料股份有限公司宜蘭冬山廠-P002 旋窯-不透光率(20%)-超標,潤泰精密材料股份有限公司宜蘭冬山廠-P002 旋窯-氮氧化物(450ppm)-超標,潤泰精密材料股份有限公司宜蘭冬山廠-P007 冷卻機-不透光率(10%)-超標,羅東鋼鐵股份有限公司煉鋼廠-P001 電弧爐-不透光率(10%)-超標,宜蘭縣利澤資源回收(焚化)廠-P001 #1焚化爐-不透光率(20%)-超標,宜蘭縣利澤資源回收(焚化)廠-P001 #1焚化爐-氮氧化物(95.5ppm)-超標,宜蘭縣利澤資源回收(焚化)廠-P001 #1焚化爐-一氧化碳(72.7ppm)-超標,宜蘭縣利澤資源回收(焚化)廠-P001 #1焚化爐-氯化氫(27.3ppm)-超標,宜蘭縣利澤資源回收(焚化)廠-P002 #2焚化爐-不透光率(20%)-超標,宜蘭縣利澤資源回收(焚化)廠-P002 #2焚化爐-氮氧化物(95.5ppm)-超標,宜蘭縣利澤資源回收(焚化)廠-P002 #2焚化爐-一氧化碳(72.7ppm)-超標,宜蘭縣利澤資源回收(焚化)廠-P002 #2焚化爐-氯化氫(27.3ppm)-超標
20140112,9/9,2/2,0/0,0/0,2/2,0/0,4/4,0/0,2/2,0/0,0/0,7/7,0/0,19/19,9/9,0/0,9/9,0/0,2/0,0/0,0/0,0/0,7/6,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0
20140113,22/21,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,10/10,0/0,1/1,6/6,0/0,0/0,0/0,2/0,0/0,0/0,0/0,6/6,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0
20140114,21/21,1/1,0/0,0/0,2/2,0/0,0/0,0/0,3/3,0/0,0/0,0/0,0/0,0/0,11/11,0/0,0/0,0/0,2/0,0/0,0/0,0/0,6/5,1/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0
20140115,31/29,1/1,0/0,1/1,0/0,0/0,0/0,2/2,0/0,0/0,0/0,0/0,0/0,0/0,8/8,0/0,0/0,0/0,2/0,0/0,0/0,0/0,4/4,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0
20140116,15/15,1/1,1/1,0/0,1/1,0/0,0/0,0/0,2/2,0/0,0/0,0/0,0/0,0/0,3/3,0/0,0/0,0/0,1/0,0/0,0/0,0/0,9/9,2/1,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0
20140117,5/5,0/0,1/1,1/1,0/0,0/0,0/0,0/0,7/7,1/1,0/0,0/0,0/0,0/0,9/9,0/0,0/0,0/0,1/0,0/0,0/0,0/0,2/2,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0
20140118,26/26,1/1,31/31,8/8,0/0,0/0,0/0,1/1,0/0,0/0,0/0,0/0,0/0,0/0,2/2,0/0,0/0,0/0,1/0,0/0,0/0,0/0,6/6,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0
20140119,18/17,0/0,9/9,0/0,0/0,0/0,0/0,0/0,1/1,0/0,0/0,0/0,0/0,0/0,11/11,0/0,0/0,0/0,1/0,0/0,0/0,0/0,4/1,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0
20140120,7/7,0/0,0/0,21/21,0/0,0/0,0/0,0/0,1/1,0/0,0/0,0/0,0/0,0/0,2/2,0/0,0/0,0/0,2/0,0/0,0/0,0/0,8/8,0/0,6/6,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0
20140121,10/10,2/2,20/20,6/6,4/4,7/7,0/0,2/2,0/0,3/3,0/0,0/0,0/0,0/0,4/4,0/0,0/0,0/0,2/0,0/0,0/0,0/0,3/3,0/0,4/4,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0
20140122,8/8,0/0,23/22,3/3,2/2,0/0,0/0,0/0,5/5,2/2,0/0,0/0,0/0,0/0,3/3,0/0,6/6,0/0,2/0,0/0,0/0,0/0,1/1,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0
20140123,6/6,0/0,0/0,0/0,1/0,6/6,0/0,1/1,6/6,2/2,0/0,0/0,0/0,0/0,1/1,0/0,1/1,0/0,2/0,0/0,0/0,0/0,11/11,0/0,28/24,0/0,0/0,0/0,1/0,0/0,0/0,0/0,0/0,0/0
20140124,1/1,0/0,0/0,0/0,0/0,0/0,0/0,0/0,7/7,0/0,0/0,0/0,0/0,0/0,17/17,0/0,5/4,0/0,1/0,0/0,0/0,0/0,12/12,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0
20140125,11/11,0/0,5/5,2/2,0/0,5/5,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,18/15,0/0,24/21,0/0,2/0,0/0,0/0,0/0,18/10,0/0,3/3,0/0,0/0,0/0,1/0,0/0,0/0,0/0,0/0,0/0
20140126,15/14,0/0,0/0,3/3,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,9/9,0/0,1/1,0/0,2/0,0/0,0/0,0/0,18/18,0/0,5/5,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0
20140127,7/7,0/0,0/0,0/0,0/0,0/0,0/0,0/0,2/2,0/0,0/0,0/0,0/0,0/0,17/15,0/0,13/2,0/0,2/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0
20140128,21/20,0/0,3/3,13/13,3/3,0/0,0/0,0/0,1/1,0/0,0/0,0/0,0/0,0/0,15/15,0/0,6/6,0/0,4/0,0/0,0/0,0/0,1/1,0/0,6/6,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0
20140129,8/8,2/2,0/0,8/8,4/4,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,17/1,0/0,2/0,0/0,2/0,0/0,0/0,0/0,2/2,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0
20140130,17/17,0/0,1/1,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,4/4,0/0,4/3,0/0,3/0,0/0,0/0,0/0,18/17,0/0,2/2,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0
20140131,3/3,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,7/6,0/0,0/0,0/0,24/0,0/0,0/0,0/0,9/9,0/0,4/4,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0
20140201,1/1,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,12/12,0/0,0/0,0/0,24/0,0/0,0/0,0/0,14/13,0/0,1/1,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0
20140202,10/10,0/0,0/0,2/2,2/2,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,10/10,0/0,5/5,0/0,11/0,0/0,0/0,0/0,9/9,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0
20140203,1/1,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,11/11,0/0,0/0,0/0,6/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0
20140204,12/12,0/0,0/0,8/8,3/3,1/1,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,6/6,0/0,0/0,0/0,2/0,0/0,0/0,0/0,5/5,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0
20140205,1/1,0/0,0/0,0/0,1/1,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,6/6,0/0,0/0,0/0,2/0,0/0,0/0,0/0,1/1,0/0,4/4,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0
20140206,1/1,0/0,0/0,0/0,4/4,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,17/16,0/0,0/0,0/0,2/0,0/0,0/0,0/0,9/8,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0
20140207,0/0,1/1,1/1,1/1,1/1,2/2,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,11/11,0/0,0/0,0/0,1/0,0/0,0/0,0/0,1/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0
20140208,5/5,2/2,0/0,0/0,4/4,1/1,2/2,0/0,0/0,2/2,0/0,0/0,0/0,0/0,0/0,0/0,7/7,0/0,2/0,0/0,0/0,0/0,8/0,0/0,5/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0
20140209,0/0,0/0,0/0,0/0,1/1,3/3,0/0,0/0,5/5,3/3,0/0,0/0,0/0,0/0,4/4,0/0,16/16,0/0,2/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0
20140210,4/4,2/2,0/0,0/0,4/4,4/4,0/0,0/0,1/1,0/0,0/0,0/0,0/0,0/0,9/9,0/0,36/36,0/0,2/0,0/0,0/0,0/0,0/0,0/0,6/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0
20140211,12/12,1/1,0/0,5/5,4/4,2/2,0/0,1/1,0/0,1/1,0/0,0/0,0/0,0/0,3/3,0/0,30/29,0/0,2/0,0/0,0/0,0/0,0/0,0/0,8/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0
20140212,10/10,1/0,0/0,0/0,3/2,9/9,0/0,0/0,0/0,2/2,0/0,0/0,0/0,0/0,5/4,0/0,21/21,0/0,2/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0
20140213,8/8,2/2,0/0,0/0,2/2,1/1,0/0,0/0,1/1,1/1,0/0,0/0,0/0,0/0,0/0,0/0,9/9,0/0,3/0,0/0,0/0,0/0,0/0,0/0,3/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0
20140214,10/9,0/0,1/1,6/6,2/2,25/25,0/0,0/0,0/0,1/1,0/0,0/0,0/0,4/4,2/2,0/0,10/10,0/0,2/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0
20140215,0/0,0/0,0/0,0/0,0/0,28/28,0/0,9/9,1/1,0/0,0/0,0/0,1/1,3/3,10/10,0/0,12/11,0/0,2/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0
20140216,0/0,0/0,0/0,0/0,0/0,27/26,0/0,0/0,0/0,0/0,0/0,6/6,0/0,6/6,5/2,0/0,38/37,0/0,1/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0
20140217,0/0,0/0,0/0,0/0,0/0,34/34,0/0,0/0,0/0,0/0,0/0,3/3,0/0,6/6,16/0,0/0,0/0,0/0,1/0,0/0,0/0,0/0,2/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0
20140218,0/0,0/0,0/0,0/0,0/0,6/6,1/1,0/0,4/4,1/1,0/0,4/4,1/1,2/2,0/0,0/0,26/0,0/0,2/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0
20140219,2/2,0/0,0/0,0/0,0/0,12/11,0/0,0/0,0/0,0/0,0/0,12/12,0/0,10/10,0/0,0/0,4/0,0/0,2/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0
20140220,6/5,1/1,3/3,0/0,5/3,5/5,2/2,0/0,0/0,0/0,0/0,20/20,0/0,5/5,5/0,0/0,1/0,0/0,2/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0
20140221,0/0,4/4,2/2,0/0,3/3,9/9,0/0,0/0,0/0,0/0,0/0,3/3,1/1,16/16,7/0,0/0,1/0,0/0,2/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0
20140222,0/0,3/2,2/2,0/0,0/0,14/14,0/0,0/0,0/0,0/0,0/0,0/0,5/5,4/4,0/0,0/0,0/0,0/0,2/0,19/8,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0
20140223,2/2,1/0,1/1,0/0,0/0,22/22,0/0,0/0,0/0,0/0,0/0,1/1,0/0,7/7,0/0,0/0,0/0,0/0,1/0,0/0,0/0,0/0,1/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0
20140224,0/0,1/1,7/5,0/0,0/0,24/24,0/0,0/0,0/0,0/0,0/0,5/5,3/3,8/8,0/0,0/0,67/0,0/0,1/0,0/0,0/0,0/0,8/8,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0
20140225,0/0,2/2,0/0,0/0,0/0,25/24,1/1,0/0,0/0,0/0,0/0,5/5,0/0,12/12,0/0,0/0,85/0,0/0,1/0,0/0,0/0,0/0,16/16,0/0,3/3,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0
20140226,1/1,0/0,13/13,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,1/1,0/0,0/0,4/0,0/0,0/0,0/0,1/0,0/0,0/0,0/0,12/10,0/0,6/4,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0
20140227,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,11/11,2/2,2/2,0/0,0/0,0/0,0/0,3/0,0/0,0/0,0/0,18/17,0/0,1/1,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0
20140228,22/22,1/1,0/0,3/3,0/0,0/0,0/0,0/0,0/0,0/0,0/0,2/2,1/1,3/3,1/0,0/0,5/0,0/0,1/0,0/0,0/0,0/0,6/6,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0
20140301,9/9,2/2,9/9,0/0,1/1,3/3,4/4,0/0,0/0,0/0,0/0,1/1,1/1,0/0,21/12,0/0,1/0,0/0,1/0,0/0,0/0,0/0,21/21,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0
20140302,17/17,3/3,2/2,0/0,3/3,14/14,0/0,0/0,0/0,0/0,0/0,1/1,0/0,8/8,3/3,0/0,0/0,0/0,2/0,0/0,0/0,0/0,1/1,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0
20140303,11/11,8/8,30/29,11/11,5/5,13/13,1/1,0/0,0/0,0/0,0/0,1/1,1/1,24/24,21/13,0/0,7/0,0/0,1/0,0/0,0/0,0/0,12/12,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0
20140304,0/0,3/3,6/5,0/0,0/0,25/24,1/1,0/0,0/0,0/0,0/0,2/2,2/2,1/1,1/0,0/0,1/0,0/0,1/0,0/0,0/0,0/0,18/18,1/1,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0
20140305,0/0,1/1,1/1,0/0,0/0,27/27,0/0,0/0,0/0,0/0,0/0,0/0,1/1,2/2,4/3,0/0,1/0,0/0,2/0,0/0,0/0,0/0,7/6,0/0,0/0,0/0,1/0,3/0,3/0,2/0,0/0,0/0,0/0,0/0
20140306,1/1,1/1,0/0,0/0,0/0,22/22,0/0,0/0,0/0,0/0,0/0,5/5,2/2,14/14,8/7,0/0,1/0,0/0,2/0,0/0,0/0,0/0,3/3,0/0,4/4,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0
20140307,5/4,2/1,5/5,0/0,0/0,16/16,0/0,1/1,0/0,0/0,0/0,0/0,0/0,3/3,14/13,0/0,1/0,0/0,1/0,13/5,0/0,0/0,3/3,1/1,2/2,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0
20140308,4/4,3/3,0/0,0/0,0/0,12/10,0/0,0/0,0/0,0/0,0/0,19/19,1/1,0/0,8/7,0/0,3/1,0/0,1/0,0/0,0/0,0/0,10/10,0/0,1/1,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0
20140309,13/12,6/6,3/3,0/0,2/2,9/9,0/0,4/4,0/0,0/0,0/0,25/25,0/0,1/1,12/11,0/0,4/2,0/0,1/0,0/0,0/0,0/0,14/5,0/0,4/1,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0
20140310,0/0,0/0,0/0,0/0,0/0,23/22,0/0,0/0,0/0,0/0,0/0,26/26,0/0,2/2,1/0,0/0,5/3,0/0,1/0,0/0,0/0,0/0,8/8,0/0,3/3,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0
20140311,0/0,0/0,0/0,0/0,0/0,4/4,1/1,0/0,0/0,0/0,0/0,21/21,2/2,2/2,2/1,0/0,8/7,0/0,1/0,0/0,0/0,0/0,7/7,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0
20140312,0/0,0/0,0/0,0/0,0/0,9/9,0/0,0/0,0/0,0/0,0/0,5/5,1/1,0/0,16/15,0/0,8/5,0/0,1/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0
20140313,0/0,0/0,0/0,0/0,0/0,6/6,2/2,0/0,0/0,0/0,0/0,2/2,0/0,0/0,10/9,0/0,20/17,0/0,1/0,0/0,0/0,0/0,6/6,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0
20140314,0/0,0/0,0/0,0/0,0/0,12/11,0/0,0/0,0/0,0/0,0/0,13/13,0/0,0/0,4/3,0/0,23/20,0/0,2/0,0/0,0/0,1/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0
20140315,0/0,0/0,0/0,0/0,0/0,4/3,0/0,0/0,0/0,0/0,0/0,11/11,1/1,3/3,2/1,0/0,7/5,0/0,2/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0
20140316,0/0,0/0,0/0,0/0,0/0,0/0,0/0,2/2,0/0,0/0,0/0,2/2,0/0,2/2,1/0,0/0,4/3,0/0,2/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0
20140317,0/0,0/0,0/0,0/0,0/0,3/3,0/0,1/1,0/0,0/0,0/0,5/5,0/0,0/0,6/5,0/0,6/5,0/0,2/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0
20140318,2/2,5/5,0/0,0/0,2/2,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,2/2,8/7,0/0,6/5,0/0,6/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0
