日期,台灣水泥股份有限公司蘇澳廠-#3旋窯違規,台灣水泥股份有限公司蘇澳廠-#3冷卻機違規,台灣水泥股份有限公司蘇澳廠-#6旋窯違規,台灣水泥股份有限公司蘇澳廠-#6冷卻機違規,信大水泥股份有限公司南聖湖廠-#2旋窯違規,信大水泥股份有限公司南聖湖廠-#2冷卻機違規,信大水泥股份有限公司南聖湖廠-#3旋窯違規,信大水泥股份有限公司南聖湖廠-#3冷卻機違規,幸福水泥股份有限公司東澳廠-#2旋窯違規,幸福水泥股份有限公司東澳廠-#2冷卻機違規,臺灣化學纖維股份有限公司龍德廠-LT2鍋爐違規,臺灣化學纖維股份有限公司龍德廠-LT3鍋爐違規,潤泰精密材料股份有限公司宜蘭冬山廠-旋窯違規,潤泰精密材料股份有限公司宜蘭冬山廠-冷卻機違規,羅東鋼鐵股份有限公司煉鋼廠-電弧爐違規,宜蘭縣利澤資源回收(焚化)廠-#1焚化爐違規,宜蘭縣利澤資源回收(焚化)廠-#2焚化爐違規
20160207,1,31,16,,,,,,5,13,,,,,,,
20160208,3,12,17,2,,,,,,3,,,1,,,,
20160209,2,9,7,,,,,,1,3,,,1,,,,
20160210,2,10,25,,,,,,5,16,,,,,,,
20160211,2,2,12,,,,,,3,5,,,,,,,
20160212,8,4,16,,,,,,3,1,,,1,,,,
20160213,,2,11,,,,,,,,,,,,,,
20160214,,7,7,,,,,,4,,,,,,,,
20160215,2,8,1,8,,,,,,,,,1,1,,,
20160216,7,1,2,,2,,,,1,,,,,,,,
20160217,1,3,3,,10,2,,,3,1,,,,,,,
20160218,,1,23,,5,,,,3,,,,,,,1,
20160219,3,10,27,1,4,,,,3,,,,,,,,
20160220,,,19,,4,,,,3,4,,,,,,,
20160221,1,3,17,1,1,,,,1,1,,,,,,,
20160222,1,,5,,5,,,,1,2,,,,,,,
20160223,,,1,,5,1,,,9,20,,,,,,,
20160224,2,,,,3,,,,4,8,,,,,,,
20160225,,7,,3,,,,,19,,,,,,,,
20160226,1,,7,,1,,,,10,,,,,,,,
20160227,,1,4,,2,,,,1,,,,,,,,
20160228,1,,3,1,1,,,,2,,,,,,,,
20160229,19,,2,2,1,,,,7,1,,,,,,,
20160301,6,,2,,2,3,,,20,,,,,,,,
20160302,2,1,,,2,,,,7,18,,,,,,,
20160303,,2,20,,1,,,,6,,,,,,,,
20160304,,4,5,,,,,,14,7,,,,,,,
20160305,3,5,2,,2,,,,12,,,,,,,,
20160306,,,6,,2,,,,14,,,,4,5,,,
20160307,,2,3,,1,,,,13,,,,,,,,
20160308,,,10,,6,,,,8,,,,,1,,,
20160309,1,2,7,,,,,,11,5,,,2,4,,,
20160310,4,4,5,,4,,,,14,,,,,,,,
20160311,,1,11,1,3,,,,19,15,,,2,,,,
20160312,,9,5,2,5,,,,10,,,,3,,,,
20160313,,2,5,,16,,,,21,,,,,2,,,
20160314,6,,4,,,,1,,22,,,,2,9,,,
20160315,,1,11,,,,4,,21,1,,,8,2,,,
20160316,,12,11,,,,,6,6,,,,,3,,,
20160317,,7,16,,,,,6,13,4,,,2,,,,
20160318,1,2,18,4,,,,,20,,,,4,,,,
20160319,1,4,25,,,,1,,16,,,,,,,,
20160320,1,,31,,,,4,10,20,,,,2,,,,
20160321,,,20,,,,1,,19,,,,,,,,
20160322,3,1,19,,,,2,,7,,,,,,,,
20160323,1,,24,,,,2,7,1,2,,,6,,,,
20160324,3,2,16,,,,5,1,8,6,,,,1,,,
20160325,,3,24,,,,10,1,7,5,,,,,,,
20160326,5,5,26,1,,,8,2,6,5,,,1,,,,
20160327,2,12,28,7,,,5,1,5,,,,,,,,
20160328,1,3,35,9,,,2,1,1,,,,1,,,,
20160329,,,32,,,,3,,,,,,6,6,,,
20160330,,,32,,,,,,,,,,,,,,
20160331,2,,15,,,,,3,,,,,,1,,,
20160401,,1,4,,,,1,,13,,,,2,,,,
20160402,1,,,,,,1,,13,,,,,,,,
20160403,,,,,,,,,4,,,,,,,,
20160404,,,,,,,4,1,10,,,,,,,,
20160405,1,,2,,,,3,,23,,,,6,,,,
20160406,3,,3,,,,2,,5,1,,,,,,,
20160407,3,,,,,,1,1,22,,,,,,,,
20160408,4,,2,,,,,,12,,,,5,,,,
20160409,1,,,,,,,,13,,,,1,,,,
20160410,,,,,,,,,2,,,,6,3,,,
20160411,1,1,,,,,,,7,,,,,2,,,
20160412,1,,1,,,,,,1,12,,,,1,,,
20160413,6,,5,,,,,,5,4,,,1,1,,,
20160414,6,,32,,,,,,1,4,,,,1,,,
20160415,8,,15,,,,2,,9,,,,,,,,
20160416,,1,32,,,,2,,,1,,,,,,,
20160417,,,24,,,,,,,,,,4,,,,
20160418,,,16,,,,,,21,2,,,,,,,
20160419,4,,16,,,,,,1,,,,,,,,
20160420,6,,11,,,,1,,,2,,,,,,,
20160421,,,23,,,,11,,5,1,,,,,,,
20160422,,,37,,,,3,,23,6,,,3,1,,,
20160423,2,,1,,,,,,16,19,,,,,,,
20160424,11,18,,,,,2,,21,6,,,,,,,
20160425,5,6,,,,,2,,20,,,,,,,,
20160426,16,2,,,,,2,,,,8,,,,,,
20160427,5,,,,,,3,,,1,,,,2,,,
20160428,6,10,,,,,5,,,10,,,,1,,,
20160429,3,7,,,,,,,7,10,,,,2,,,
20160430,15,2,,,,,,,,,,,,2,,,
20160501,6,1,,,,,6,,1,,,,,3,,,
20160502,8,28,,,,,,,2,3,,,,,,,
20160503,2,,,,,,1,,1,2,,,,,,,
20160504,,,,,,,,,,5,,,,,,,
20160505,,2,,,,,,,2,,,,,,,,
20160506,4,6,,,,,,,2,,,,,,,,
20160507,,12,,,,,,,,1,,,3,,,,
20160508,,3,1,,,,,,,,,,,,,,
20160509,2,,,,,,,,12,,,,,,,,
20160510,,,,,,,,,5,2,,,,,,,
20160511,,,5,,,,1,,13,1,,,,,,,
