日期,台灣水泥股份有限公司蘇澳廠-#3旋窯違規,台灣水泥股份有限公司蘇澳廠-#3冷卻機違規,台灣水泥股份有限公司蘇澳廠-#6旋窯違規,台灣水泥股份有限公司蘇澳廠-#6冷卻機違規,信大水泥股份有限公司南聖湖廠-#2旋窯違規,信大水泥股份有限公司南聖湖廠-#2冷卻機違規,信大水泥股份有限公司南聖湖廠-#3旋窯違規,信大水泥股份有限公司南聖湖廠-#3冷卻機違規,幸福水泥股份有限公司東澳廠-#2旋窯違規,幸福水泥股份有限公司東澳廠-#2冷卻機違規,臺灣化學纖維股份有限公司龍德廠-LT2鍋爐違規,臺灣化學纖維股份有限公司龍德廠-LT3鍋爐違規,潤泰精密材料股份有限公司宜蘭冬山廠-旋窯違規,潤泰精密材料股份有限公司宜蘭冬山廠-冷卻機違規,羅東鋼鐵股份有限公司煉鋼廠-電弧爐違規,宜蘭縣利澤資源回收(焚化)廠-#1焚化爐違規,宜蘭縣利澤資源回收(焚化)廠-#2焚化爐違規
20160101,,1,3,,,,1,24,10,,,,,,,,
20160102,,,7,,,,,11,14,2,,,13,,,,
20160103,7,,6,,,,4,,3,,,,7,,,,
20160104,,,1,,,,2,,1,2,,,1,,,,
20160105,5,1,1,,,,,,3,,,,1,,,,
20160106,,,3,,,,1,7,2,,,,,,,,
20160107,1,,5,1,,,4,14,,,,,1,,,,
20160108,,2,3,,,,,5,1,1,,,,,,,
20160109,,2,12,,,,7,5,8,,,,,,,,
20160110,,4,6,8,,,,22,2,5,,,1,,,,
20160111,,1,8,2,,,1,11,8,10,,,,,,,
20160112,,4,15,4,,,,,12,,,,,,,,
20160113,,1,7,,,,,,2,10,,,,,,,
20160114,,3,22,,,,1,1,7,,,,,1,,,
20160115,1,1,18,,,,1,,6,1,,,1,,,,
20160116,5,,23,,,,,,10,9,,,4,1,,,
20160117,,,26,,,,,,8,9,,,3,,,,
20160118,,,16,,,,,,3,19,,,1,1,,,
20160119,,,5,,,,,,14,31,,,1,3,,,
20160120,,,8,,,,,1,,1,,,,,,,
20160121,,,19,,,,2,,15,5,,,,,,,
20160122,,,16,,,,1,,14,4,,,,,,,
20160123,,,19,,,,,,11,1,,,3,2,,,
20160124,,,25,12,,,2,,15,,,,,,,,
20160125,,,12,17,,,2,,16,,,,2,5,,,
20160126,,,11,,,,,2,13,12,,,2,12,,,
20160127,3,,12,,,,,5,6,,,,2,,,,
20160128,,6,9,,,,1,3,3,,,,6,,,,
20160129,1,1,2,,,,1,,28,20,,,,,,,
20160130,2,,13,,,,2,3,6,,,,,,,,
20160131,,,17,,,,,,6,,,,2,,,,
20160201,1,2,15,1,,,1,,1,,,,,,,,
20160202,,3,14,,,,4,8,2,,,,,,,,
20160203,,4,16,,,,,4,3,,,,,,,,
20160204,,2,7,,,,,2,5,3,,,2,2,,,
20160205,4,1,,,,,,,3,6,,,,,,,
20160206,1,,4,,,,6,1,5,2,,,6,3,,,
