日期,台灣水泥股份有限公司蘇澳廠-P101 #3旋窯-不透光率(20%)-超標,台灣水泥股份有限公司蘇澳廠-P101 #3旋窯-氮氧化物(450ppm)-超標,台灣水泥股份有限公司蘇澳廠-P102 #3冷卻機-不透光率(10%)-超標,台灣水泥股份有限公司蘇澳廠-P202 #3旋窯-不透光率(20%)-超標,台灣水泥股份有限公司蘇澳廠-P202 #3旋窯-氮氧化物(450ppm)-超標,台灣水泥股份有限公司蘇澳廠-P301 #6旋窯-不透光率(20%)-超標,台灣水泥股份有限公司蘇澳廠-P301 #6旋窯-氮氧化物(450ppm)-超標,台灣水泥股份有限公司蘇澳廠-P302 #6冷卻機-不透光率(10%)-超標,信大水泥股份有限公司南聖湖廠-P201 #2旋窯-不透光率(20%)-超標,信大水泥股份有限公司南聖湖廠-P201 #2旋窯-氮氧化物(450ppm)-超標,信大水泥股份有限公司南聖湖廠-P203 #2冷卻機-不透光率(10%)-超標,信大水泥股份有限公司南聖湖廠-P301 #3旋窯-不透光率(20%)-超標,信大水泥股份有限公司南聖湖廠-P301 #3旋窯-氮氧化物(450ppm)-超標,信大水泥股份有限公司南聖湖廠-P304 #3冷卻機-不透光率(10%)-超標,幸福水泥股份有限公司東澳廠-P002 #2旋窯-不透光率(20%)-超標,幸福水泥股份有限公司東澳廠-P002 #2旋窯-氮氧化物(450ppm)-超標,幸福水泥股份有限公司東澳廠-P004 #2冷卻機-不透光率(10%)-超標,臺灣化學纖維股份有限公司龍德廠-P105 LT2鍋爐-不透光率(20%)-超標,臺灣化學纖維股份有限公司龍德廠-P105 LT2鍋爐-二氧化硫(20ppm)-超標,臺灣化學纖維股份有限公司龍德廠-P115 LT3鍋爐-不透光率(20%)-超標,臺灣化學纖維股份有限公司龍德廠-P115 LT3鍋爐-二氧化硫(20ppm)-超標,臺灣化學纖維股份有限公司龍德廠-P115 LT3鍋爐-氮氧化物(50ppm)-超標,潤泰精密材料股份有限公司宜蘭冬山廠-P002 旋窯-不透光率(20%)-超標,潤泰精密材料股份有限公司宜蘭冬山廠-P002 旋窯-氮氧化物(450ppm)-超標,潤泰精密材料股份有限公司宜蘭冬山廠-P007 冷卻機-不透光率(10%)-超標,羅東鋼鐵股份有限公司煉鋼廠-P001 電弧爐-不透光率(10%)-超標,宜蘭縣利澤資源回收(焚化)廠-P001 #1焚化爐-不透光率(20%)-超標,宜蘭縣利澤資源回收(焚化)廠-P001 #1焚化爐-氮氧化物(95.5ppm)-超標,宜蘭縣利澤資源回收(焚化)廠-P001 #1焚化爐-一氧化碳(72.7ppm)-超標,宜蘭縣利澤資源回收(焚化)廠-P001 #1焚化爐-氯化氫(27.3ppm)-超標,宜蘭縣利澤資源回收(焚化)廠-P002 #2焚化爐-不透光率(20%)-超標,宜蘭縣利澤資源回收(焚化)廠-P002 #2焚化爐-氮氧化物(95.5ppm)-超標,宜蘭縣利澤資源回收(焚化)廠-P002 #2焚化爐-一氧化碳(72.7ppm)-超標,宜蘭縣利澤資源回收(焚化)廠-P002 #2焚化爐-氯化氫(27.3ppm)-超標
20130101,0/0,0/0,0/0,0/0,0/0,5/5,0/0,0/0,0/0,0/0,0/0,0/0,0/0,1/1,2/2,4/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0
20130102,0/0,1/1,0/0,0/0,0/0,3/3,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,4/4,1/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0
20130103,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,1/1,1/1,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,1/1,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0
20130104,7/7,0/0,0/0,0/0,0/0,3/3,0/0,0/0,0/0,0/0,0/0,0/0,4/4,1/1,3/3,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,1/1,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0
20130105,4/4,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,4/4,4/4,14/14,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0
20130106,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,1/1,11/11,7/6,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0
20130107,11/11,0/0,0/0,0/0,0/0,6/6,0/0,0/0,0/0,0/0,0/0,12/0,0/0,3/1,17/17,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0
20130108,8/8,0/0,0/0,2/2,0/0,4/4,0/0,0/0,0/0,0/0,0/0,6/2,3/3,0/0,19/19,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0
20130109,4/4,0/0,0/0,0/0,0/0,6/6,0/0,0/0,0/0,0/0,0/0,0/0,1/1,0/0,23/22,1/0,0/0,0/0,0/0,0/0,0/0,0/0,12/0,0/0,3/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0
20130110,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,5/5,17/17,0/0,0/0,0/0,0/0,0/0,0/0,0/0,1/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0
20130111,0/0,0/0,0/0,0/0,0/0,1/1,0/0,0/0,0/0,0/0,0/0,0/0,2/2,11/11,6/6,0/0,5/5,0/0,0/0,0/0,0/0,0/0,2/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0
20130112,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,1/1,7/7,2/2,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0
20130113,0/0,1/1,0/0,0/0,0/0,0/0,1/1,0/0,0/0,0/0,0/0,1/0,0/0,10/10,2/2,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0
20130114,1/1,0/0,0/0,0/0,0/0,7/7,0/0,0/0,0/0,0/0,0/0,2/2,1/1,0/0,2/2,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0
20130115,2/2,1/1,0/0,0/0,0/0,6/6,0/0,0/0,0/0,0/0,3/0,0/0,1/1,0/0,1/1,0/0,0/0,0/0,1/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0
20130116,0/0,0/0,0/0,8/8,0/0,8/8,0/0,0/0,0/0,0/0,0/0,1/1,7/7,1/1,3/3,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,29/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0
20130117,0/0,0/0,0/0,0/0,0/0,7/7,0/0,0/0,0/0,0/0,0/0,1/1,4/4,0/0,3/3,0/0,0/0,0/0,0/0,0/0,0/0,0/0,2/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0
20130118,2/2,0/0,0/0,5/5,0/0,5/5,1/1,2/2,0/0,0/0,0/0,0/0,0/0,1/1,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0
20130119,0/0,1/1,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,3/3,1/1,2/2,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,14/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0
20130120,1/1,0/0,0/0,0/0,0/0,4/4,0/0,0/0,0/0,0/0,0/0,0/0,1/1,7/7,1/1,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,5/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0
20130121,4/4,0/0,0/0,2/2,2/2,0/0,0/0,0/0,0/0,0/0,0/0,2/2,2/2,8/8,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,13/11,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0
20130122,8/7,0/0,0/0,7/7,0/0,2/2,0/0,0/0,0/0,0/0,0/0,6/2,4/4,3/2,4/4,0/0,0/0,0/0,0/0,0/0,0/0,0/0,3/3,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0
20130123,2/2,0/0,0/0,8/8,0/0,0/0,1/1,0/0,0/0,0/0,0/0,0/0,2/2,0/0,4/4,0/0,0/0,0/0,0/0,0/0,0/0,0/0,2/2,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0
20130124,7/7,0/0,0/0,8/8,0/0,2/2,0/0,0/0,0/0,0/0,0/0,1/1,0/0,10/10,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0
20130125,5/5,0/0,1/1,0/0,0/0,4/4,2/2,0/0,0/0,0/0,0/0,1/0,0/0,1/1,3/3,0/0,0/0,0/0,0/0,0/0,0/0,1/1,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0
20130126,0/0,3/3,0/0,0/0,3/3,1/1,0/0,0/0,0/0,2/2,0/0,2/0,0/0,14/12,7/7,0/0,0/0,0/0,0/0,24/0,0/0,0/0,5/5,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0
20130127,0/0,0/0,0/0,0/0,0/0,7/7,0/0,6/6,0/0,2/2,0/0,1/1,0/0,11/11,3/3,0/0,0/0,0/0,0/0,0/0,0/0,3/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0
20130128,0/0,0/0,0/0,0/0,0/0,1/1,0/0,0/0,0/0,4/4,0/0,7/0,0/0,7/6,3/3,0/0,0/0,0/0,0/0,0/0,0/0,0/0,16/16,0/0,3/3,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0
20130129,0/0,0/0,0/0,0/0,0/0,6/6,0/0,0/0,0/0,1/1,0/0,0/0,0/0,0/0,4/4,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0
20130130,0/0,0/0,0/0,0/0,0/0,2/2,0/0,0/0,0/0,2/2,0/0,0/0,0/0,0/0,4/4,0/0,4/4,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0
20130131,0/0,0/0,0/0,0/0,0/0,7/7,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,7/7,0/0,0/0,1/0,0/0,0/0,0/0,0/0,4/4,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0
20130201,0/0,0/0,0/0,0/0,0/0,8/8,0/0,4/4,0/0,3/3,0/0,0/0,0/0,0/0,4/4,0/0,4/4,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0
20130202,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,4/3,1/0,0/0,0/0,0/0,0/0,0/0,0/0,6/6,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0
20130203,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,3/0,0/0,2/0,0/0,0/0,1/0,2/2,0/0,0/0,0/0,0/0,0/0,0/0,0/0,11/11,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0
20130204,0/0,0/0,0/0,0/0,0/0,4/4,0/0,0/0,0/0,2/2,2/1,0/0,0/0,0/0,1/1,0/0,1/1,0/0,0/0,0/0,0/0,0/0,6/6,0/0,2/2,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0
20130205,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,6/5,0/0,4/4,0/0,0/0,0/0,0/0,0/0,1/1,0/0,6/6,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0
20130206,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,4/1,3/3,0/0,0/0,0/0,2/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,2/2,0/0,1/1,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0
20130207,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,2/2,0/0,0/0,0/0,0/0,1/0,0/0,0/0,2/2,0/0,0/0,0/0,0/0,0/0,5/5,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0
20130208,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,2/0,2/2,0/0,0/0,0/0,0/0,2/2,0/0,1/1,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0
20130209,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,5/5,0/0,1/1,0/0,1/0,0/0,0/0,0/0,3/3,0/0,1/1,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0
20130210,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,5/5,0/0,1/1,0/0,1/0,0/0,0/0,0/0,2/1,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0
20130211,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,3/3,0/0,0/0,0/0,1/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0
20130212,0/0,0/0,0/0,0/0,0/0,0/0,1/1,0/0,0/0,0/0,0/0,0/0,0/0,0/0,6/6,0/0,0/0,0/0,1/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0
20130213,0/0,1/1,0/0,1/1,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,6/6,0/0,0/0,0/0,2/0,0/0,0/0,0/0,26/4,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0
20130214,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,4/4,0/0,0/0,0/0,1/0,0/0,0/0,0/0,18/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0
20130215,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,2/2,0/0,0/0,0/0,0/0,0/0,0/0,0/0,1/0,0/0,19/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0
20130216,5/5,0/0,0/0,0/0,0/0,0/0,0/0,5/5,0/0,0/0,0/0,0/0,0/0,0/0,4/2,0/0,7/6,0/0,0/0,0/0,0/0,0/0,4/0,0/0,10/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0
20130217,4/4,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,3/3,9/9,1/1,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,1/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0
20130218,7/7,0/0,0/0,8/8,0/0,0/0,0/0,0/0,0/0,0/0,0/0,7/5,2/2,3/3,5/2,3/0,0/0,0/0,0/0,0/0,0/0,0/0,1/0,0/0,20/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0
20130219,8/8,0/0,0/0,6/6,3/3,0/0,0/0,0/0,0/0,0/0,0/0,7/2,6/6,2/2,7/7,0/0,1/1,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0
20130220,12/12,0/0,0/0,8/8,0/0,6/6,0/0,0/0,0/0,0/0,0/0,14/13,3/3,1/1,4/4,0/0,0/0,0/0,1/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0
20130221,8/8,0/0,0/0,0/0,2/1,0/0,0/0,0/0,0/0,0/0,0/0,12/7,2/2,0/0,2/2,0/0,7/7,0/0,0/0,0/0,0/0,0/0,0/0,0/0,1/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0
20130222,8/8,0/0,0/0,0/0,1/1,0/0,0/0,0/0,0/0,0/0,0/0,5/1,2/2,1/1,0/0,0/0,11/11,14/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0
20130223,2/2,0/0,0/0,6/6,1/1,0/0,0/0,0/0,0/0,0/0,0/0,6/2,2/2,3/2,0/0,0/0,3/3,33/0,1/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0
20130224,0/0,0/0,0/0,0/0,2/2,0/0,0/0,0/0,0/0,0/0,0/0,1/1,4/4,9/7,0/0,0/0,12/12,0/0,1/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0
20130225,9/9,0/0,0/0,4/4,2/2,3/3,0/0,0/0,0/0,0/0,0/0,1/1,1/1,9/9,0/0,0/0,12/12,0/0,2/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,6/0,3/0
20130226,16/16,0/0,0/0,7/7,0/0,0/0,0/0,0/0,0/0,0/0,0/0,1/1,5/5,9/9,13/0,0/0,9/1,0/0,2/0,0/0,0/0,0/0,0/0,0/0,26/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0
20130227,9/9,0/0,0/0,9/9,0/0,0/0,0/0,0/0,0/0,0/0,0/0,1/0,3/3,1/1,11/0,0/0,0/0,0/0,2/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0
20130228,1/1,0/0,0/0,0/0,1/1,0/0,0/0,0/0,0/0,0/0,0/0,7/0,1/1,5/0,4/0,0/0,0/0,0/0,2/0,0/0,0/0,0/0,0/0,0/0,2/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0
20130301,7/7,0/0,0/0,8/8,0/0,0/0,0/0,0/0,0/0,0/0,0/0,2/1,4/4,0/0,0/0,0/0,1/0,0/0,2/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0
20130302,4/4,0/0,0/0,0/0,1/1,0/0,0/0,0/0,0/0,0/0,0/0,0/0,5/5,0/0,0/0,0/0,0/0,28/0,1/0,0/0,0/0,0/0,0/0,0/0,4/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0
20130303,2/2,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,6/6,1/1,9/0,6/0,1/0,0/0,2/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0
20130304,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,6/6,0/0,0/0,2/0,20/20,46/0,2/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0
20130305,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,8/8,9/9,2/2,0/0,10/9,35/0,2/0,0/0,0/0,0/0,1/0,0/0,4/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0
20130306,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,5/5,8/8,0/0,0/0,4/4,0/0,2/0,0/0,0/0,0/0,19/12,0/0,3/3,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0
20130307,0/0,0/0,0/0,0/0,0/0,0/0,1/1,0/0,0/0,0/0,0/0,0/0,2/2,8/8,0/0,0/0,10/10,0/0,2/0,0/0,0/0,0/0,7/7,0/0,12/12,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0
20130308,0/0,0/0,0/0,0/0,0/0,0/0,0/0,1/1,0/0,0/0,0/0,0/0,2/2,8/8,0/0,0/0,11/11,0/0,2/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0
20130309,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,3/0,4/4,16/6,2/2,0/0,0/0,0/0,2/0,0/0,0/0,0/0,2/2,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0
20130310,0/0,1/1,0/0,0/0,1/1,0/0,4/3,0/0,1/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,2/0,0/0,0/0,0/0,28/28,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0
20130311,0/0,1/1,0/0,0/0,1/1,0/0,0/0,0/0,0/0,2/2,0/0,0/0,0/0,1/0,2/2,0/0,1/1,0/0,2/0,0/0,0/0,0/0,5/5,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0
20130312,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,1/0,3/3,0/0,1/0,0/0,4/0,0/0,0/0,1/1,0/0,2/0,0/0,0/0,0/0,9/9,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0
20130313,1/1,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,1/1,0/0,0/0,0/0,0/0,2/2,0/0,0/0,0/0,4/0,0/0,0/0,0/0,3/3,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0
20130314,0/0,0/0,0/0,8/8,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,2/2,0/0,5/5,0/0,2/0,0/0,0/0,0/0,16/16,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0
20130315,2/2,0/0,0/0,1/1,0/0,4/4,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,2/2,0/0,1/1,0/0,2/0,0/0,0/0,0/0,4/4,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0
20130316,0/0,0/0,0/0,0/0,0/0,7/7,0/0,0/0,0/0,1/1,0/0,0/0,5/5,11/4,4/3,0/0,3/3,0/0,2/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0
20130317,0/0,0/0,0/0,0/0,0/0,7/6,0/0,0/0,0/0,0/0,0/0,0/0,6/6,20/19,12/9,0/0,3/3,0/0,2/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0
20130318,3/3,0/0,0/0,6/6,0/0,6/6,0/0,0/0,0/0,0/0,0/0,1/0,3/3,29/23,1/1,0/0,0/0,0/0,2/0,0/0,0/0,0/0,2/2,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0
20130319,8/8,0/0,0/0,7/7,0/0,0/0,0/0,0/0,1/0,0/0,0/0,0/0,3/3,6/6,3/3,0/0,0/0,0/0,2/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0
20130320,10/10,0/0,0/0,0/0,0/0,1/1,0/0,0/0,0/0,0/0,0/0,9/9,5/5,10/5,2/2,0/0,0/0,0/0,2/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0
20130321,17/17,0/0,0/0,16/16,0/0,0/0,0/0,0/0,0/0,0/0,0/0,7/6,6/6,2/2,3/3,0/0,0/0,0/0,1/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0
20130322,6/6,0/0,0/0,8/8,0/0,2/2,0/0,0/0,0/0,0/0,0/0,7/4,1/1,0/0,0/0,0/0,0/0,0/0,2/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0
20130323,5/5,1/1,0/0,0/0,0/0,3/3,0/0,0/0,0/0,0/0,0/0,15/14,0/0,0/0,7/7,0/0,0/0,0/0,2/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0
20130324,3/3,0/0,0/0,0/0,0/0,2/2,0/0,0/0,0/0,0/0,0/0,12/11,0/0,0/0,6/6,0/0,0/0,0/0,2/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0
20130325,3/3,0/0,0/0,3/3,0/0,1/1,0/0,0/0,2/0,0/0,0/0,28/18,0/0,0/0,5/5,0/0,0/0,0/0,2/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0
20130326,6/6,0/0,0/0,0/0,0/0,1/1,0/0,0/0,0/0,0/0,0/0,17/3,0/0,2/0,4/4,0/0,0/0,0/0,2/0,0/0,0/0,0/0,5/5,0/0,4/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0
20130327,1/1,0/0,0/0,0/0,0/0,5/5,0/0,0/0,0/0,0/0,0/0,12/5,3/3,15/10,4/4,0/0,0/0,0/0,2/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0
